Team/School,Sport,League,Stadium,Capacity,City,State,lat,lon
Los Angeles Clippers,Basketball,NBA,Intuit Dome,17927,Inglewood,CA,33.9442586,-118.3421719
University of Iowa,Football,,Kinnick Stadium,69250,Iowa City,IA,41.6586246,-91.5511915
University of Iowa,Basketball,,Carver-Hawkeye Arena,14998,Iowa City,IA,41.6640099,-91.5545369
University of California - Irvine,Basketball,,Bren Events Center,5000,Irvine,CA,33.6494575,-117.8469057
University of California Santa Barbara,Soccer,,Harder Stadium,17000,Isla Vista,CA,34.4205207,-119.8543994
University of California Santa Barbara,Basketball,,Thunderdome,6000,Isla Vista,CA,34.4137878,-119.8513061
Cornell University,Football,,Schoellkopf Field,21500,Ithaca,NY,42.4440218,-76.4783577
Cornell University,Hockey,,Lynah Rink,4267,Ithaca,NY,42.4458022,-76.4775192
Cornell University,Basketball,,Newman Arena,3500,Ithaca,NY,,
Mississippi Valley State University,Football,,Rice-Totten Stadium,10000,Itta Bena,MS,,
Mississippi Valley State University,Basketball,,HPER Complex,5000,Itta Bena,MS,,
Jackson State University,Football,,Mississippi Vet. Memorial Stadium,60000,Jackson,MS,,
Jackson State University,Basketball,,Williams Athletics & Assembly Center,8000,Jackson,MS,32.2997458,-90.2118878
High School Championship,Basketball,,Mississippi Coliseum,6812,Jackson,MS,32.3001615,-90.1720282
Belhaven University,Baseball,,Smith-Wills Stadium,5200,Jackson,MS,32.336714,-90.1536481
Rockabillys,Baseball,Prospect League,Jackson Baseball Stadium,6000,Jackson,TN,,
Jacksonville State University,Football,,AmFirst Stadium,22500,Jacksonville,AL,33.8203687,-85.7661255
Jacksonville State University,Basketball,,Pete Mathews Coliseum,3500,Jacksonville,AL,33.8241454,-85.7734926
Jaguars,Football,NFL,TIAA Bank Field,67246,Jacksonville,FL,,
Icemen,Hockey,ECHL,VyStar Veterans Memorial Arena,12609,Jacksonville,FL,30.3257439,-81.6449801
Jumbo Shrimp,Baseball,IL,VyStar Ballpark,10000,Jacksonville,FL,,
University of North Florida,Soccer,,Hodges Stadium,9400,Jacksonville,FL,30.2752055,-81.511875
University of North Florida,Basketball,,UNF Arena,5400,Jacksonville,FL,,
High School Playoffs,Basketball,,Jamestown Civic Center,5269,Jamestown,ND,46.910052,-98.7048542
East Tennessee State University,Basketball,,Freedom Hall Civic Center,6000,Johnson City,TN,,
East Tennessee State University,,Volleyball,Brooks Gym,3500,Johnson City,TN,,
Mill Rats,Baseball,Prospect League,Sargent’s Stadium at the Point,7500,Johnstown,PA,,
Tomahawks,Hockey,NAHL,1st Summit Arena,3517,Johnstown,PA,40.323026,-78.9227195
Slammers,Baseball,Frontier League,Duly Health and Care Field,6229,Joliet,IL,41.5260118,-88.077696
Arkansas State University,Football,,Centennial Bank Stadium,30382,Jonesboro,AR,35.8489163,-90.6671799
Arkansas State University,Basketball,,First National Bank Arena,10038,Jonesboro,AR,35.8453739,-90.6703443
Hammerheads,Baseball,Florida State League,Roger Dean Stadium,6600,Jupiter,FL,26.891044,-80.1163809
Western Michigan University,Football,,Waldo Stadium,30200,Kalamazoo,MI,42.2857621,-85.6011197
Western Michigan University,Basketball,,University Arena,5421,Kalamazoo,MI,42.2833436,-85.608586
Wings,Hockey,ECHL,Wings Event Center,5113,Kalamazoo,MI,42.2540681,-85.5361745
Western Michigan University,Hockey,,Lawson Arena,3667,Kalamazoo,MI,42.2759622,-85.6178754
Blazers,Hockey,WHL,Sandman Centre,5419,Kamloops,BC,,
Cannon Ballers,Baseball,Carolina League,Atrium Health Ballpark,4930,Kannapolis,NC,35.498117,-80.6271047
Sporting Kansas City,Soccer,MLS,Children’s Mercy Park,18467,Kansas City,KS,39.1216438,-94.8233504
Monarchs,Baseball,American Association,Legends Field,5600,Kansas City,KS,39.124496,-94.8308572
Chiefs,Football,NFL,Arrowhead Stadium,76416,Kansas City,MO,39.0489357,-94.4839993
Royals,Baseball,MLB,Kauffman Stadium,37903,Kansas City,MO,39.0515081,-94.4804598
Big 12 Tournament,Basketball,T,Mobile Center,18630,Kansas City,MO,39.0972952,-94.5799495
Current,Soccer,NWSL,CPKC Stadium,11500,Kansas City,MO,39.1195165,-94.566508
MIAA Championship,Basketball,,Municipal Auditorium,9721,Kansas City,MO,39.0979007,-94.5864003
University of Nebraska - Kearney,Basketball,,Health and Sports Center,5100,Kearney,NE,40.7001013,-99.1001002
City Storm,Hockey,USHL,Viaero Center,4745,Kearney,NE,40.6668498,-99.09245
Keizer Volcanoes,Baseball,Mavericks League,Volcanoes Stadium,4254,Keizer,OR,,
Rockets,Hockey,WHL,Prospera Place,6007,Kelowna,BC,,
Kennesaw State University,Football,,Fifth Third Bank Stadium,10200,Kennesaw,GA,34.0287871,-84.5677981
Kennesaw State University,Basketball,,KSU Convocation Center,4600,Kennesaw,GA,,
City Americans,Hockey,WHL,Toyota Center,5785,Kennewick,WA,46.2198372,-119.2166905
Kent State University,Football,,Dix Stadium,25319,Kent,OH,41.1390275,-81.3136754
Kent State University,Basketball,,Memorial Athletic & Convocation Center,6327,Kent,OH,41.1481862,-81.3440025
Seattle Thunderbirds,Hockey,WHL,ShoWare Center,6150,Kent,WA,47.3876599,-122.2400038
High School Playoffs,Basketball,,James S. Trent Arena,3650,Kettering,OH,,
Frontenacs,Hockey,OHL,Slush Puppie Place,5522,Kingston,ON,,
University of Rhode Island,Basketball,,Ryan Center,8000,Kingston,RI,41.4877689,-71.5358429
Texas A&M University - Kingsville,Football,,Javelina Stadium,12500,Kingsville,TX,27.5288688,-97.8800619
Down East Bird Dawgs,Baseball,Frontier League,Grainger Stadium,3500,Kinston,NC,35.2701146,-77.5742038
NBA - G,,League,Silver Spurs Arena,8000,Kissimmee,FL,28.2989694,-81.3690129
Rangers,Hockey,OHL,Kitchener Memorial Auditorium,7131,Kitchener,ON,,
University of Tennessee,Football,,Neyland Stadium,101915,Knoxville,TN,35.9550647,-83.9259872
University of Tennessee,Basketball,,Food City Center,21678,Knoxville,TN,36.0048923,-83.9752585
Smokies,Baseball,Southern League,Covenant Health Park,7000,Knoxville,TN,35.9720761,-83.9142405
University of Tennessee,Baseball,,Lindsey Nelson Stadium,5548,Knoxville,TN,35.9489539,-83.9294765
Ice Bears,Hockey,SPHL,Knoxville Civic Coliseum,4973,Knoxville,TN,35.9650542,-83.9113534
Loggers,Baseball,Northwoods League,Copeland Park,3550,La Crosse,WI,43.8384095,-91.2503512
University of Louisiana,Football,,Our Lady of Lourdes Stadium,30932,Lafayette,LA,,
University of Louisiana,Basketball,,Cajundome,12362,Lafayette,LA,30.2182004,-92.0409023
University of Louisiana,Baseball,,M.L. Tigue Moore Field,6015,Lafayette,LA,30.2132783,-92.0416972
BYU - Hawaii,Basketball,,Cannon Activities Center,4500,Laie,HI,21.6412044,-157.9226978
ESPN Events Invitational,Basketball,,State Farm Field House,5000,Lake Buena Vista,FL,,
McNeese State University,Football,,Navarre Stadium,20000,Lake Charles,LA,,
High School Championship,Basketball,,Burton Coliseum,8500,Lake Charles,LA,,
McNeese State University,Basketball,,Legacy Center,4200,Lake Charles,LA,30.175103,-93.2096958
Storm,Baseball,California League,The Diamond,6066,Lake Elsinore,CA,,
Flying Tigers,Baseball,Florida State League,Joker Marchant Stadium,8500,Lakeland,FL,28.074622,-81.9507671
High School Championship,Basketball,,RP Funding Center,4872,Lakeland,FL,,
ECAC Tournament,Hockey,,Herb Brooks Arena,7700,Lake Placid,NY,44.2832692,-73.9856258
Jersey Shore BlueClaws,Baseball,Sally League,ShoreTown Ballpark,6588,Lakewood,NJ,40.0750723,-74.1868893
Stormers,Baseball,Atlantic League,Penn Medicine Park,6000,Lancaster,PA,40.0488347,-76.310919
Washington Commanders,Football,NFL,Northwest Stadium,67617,Landover,MD,38.9076694,-76.864533
Vancouver Giants,Hockey,WHL,Langley Events Centre,4922,Langley,BC,,
Lugnuts,Baseball,Midwest League,Jackson Field,7300,Lansing,MI,42.7351541,-84.5456274
University of Wyoming,Football,,War Memorial Stadium,29181,Laramie,WY,41.3116082,-105.5681588
University of Wyoming,Basketball,Arena,Auditorium,11612,Laramie,WY,41.3132737,-105.5692881
High School Playoffs,Basketball,,Laredo Energy Arena,8665,Laredo,TX,,
New Mexico State University,Football,,Aggie Memorial Stadium,28853,Las Cruces,NM,32.2796361,-106.7411115
New Mexico State University,Basketball,,Pan American Center,12575,Las Cruces,NM,32.2839989,-106.7422274
New Mexico Highlands University,Basketball,,John A. Wilson Complex,4250,Las Vegas,NM,35.6015668,-105.2243375
Raiders,Football,NFL,Allegiant Stadium,65000,Las Vegas,NV,36.0907359,-115.1833303
UNLV,Basketball,,Thomas & Mack Center,18000,Las Vegas,NV,36.104923,-115.1442662
NHL,Hockey,T,Mobile Arena,17500,Las Vegas,NV,36.102678,-115.1782239
Aces,Basketball,WNBA,Michelob Ultra Arena,12000,Las Vegas,NV,36.0906483,-115.1790209
Lights,Soccer,USL Championship,Cashman Field,9334,Las Vegas,NV,36.1797605,-115.1298902
Aviators,Baseball,PCL,Las Vegas Ballpark,8000,Las Vegas,NV,,
West Coast Conference Tournament,Basketball,,Orleans Arena,7051,Las Vegas,NV,36.1058277,-115.2022465
Rocket,Hockey,AHL,Bell Place,10043,Laval,QC,,
University of Kansas,Football,,David Booth Kansas Memorial Stadium,41525,Lawrence,KS,38.9630786,-95.2462865
University of Kansas,Basketball,,Allen Fieldhouse,15300,Lawrence,KS,38.9543125,-95.2528214
Gwinnett Stripers,Baseball,IL,Coolray Field,7777,Lawrenceville,GA,34.040665,-83.9924762
Hurricanes,Hockey,WHL,VisitLethbridge.com Arena,4346,Lethbridge,AB,,
Bucknell University,Football,Christy Mathewson,Memorial Stadium,13100,Lewisburg,PA,,
Bucknell University,Basketball,,Sojka Pavilion,4000,Lewisburg,PA,,
University of Kentucky,Football,,Kroger Field,61000,Lexington,KY,,
University of Kentucky,Basketball,,Rupp Arena,20500,Lexington,KY,38.0494123,-84.5023586
University of Kentucky,,Volleyball,Memorial Coliseum,7000,Lexington,KY,38.0394907,-84.5003865
Legends,Baseball,Atlantic League,Legends Field,6000,Lexington,KY,38.0652697,-84.4780816
Virginia Military Institute,Football,,Foster Stadium,10000,Lexington,VA,37.7888866,-79.435087
Virginia Military Institute,Basketball,,Cameron Hall,5000,Lexington,VA,37.7885154,-79.4366007
University of Nebraska,Football,,Memorial Stadium,82841,Lincoln,NE,40.8207179,-96.7047562
University of Nebraska,Basketball,,Pinnacle Bank Arena,15000,Lincoln,NE,40.817856,-96.7125281
University of Nebraska,Baseball,,Haymarket Park,4500,Lincoln,NE,40.8242751,-96.7153685
University of Nebraska,,Volleyball,Bob Devaney Sports Center,7907,Lincoln,NE,,
Stars,Hockey,USHL,Ice Box,4212,Lincoln,NE,,
NJIT,Baseball,,Yogi Berra Stadium,3784,Little Falls,NJ,40.8688937,-74.1953354
University of Arkansas,Football,,War Memorial Stadium,54120,Little Rock,AR,34.7498294,-92.3307817
UALR,Basketball,,Jack Stephens Center,5600,Little Rock,AR,34.7284768,-92.340457
Utah State University,Football,,Maverik Stadium,25100,Logan,UT,41.7519374,-111.8116703
Utah State University,Basketball,,Dee Glen Smith Spectrum,10270,Logan,UT,41.7476309,-111.8121027
High School Playoffs,Basketball,,Berry Bowl,5873,Logansport,IN,,
Knights,Hockey,OHL,Budweiser Gardens,9036,London,ON,,
Majors,Baseball,CBL,Labatt Park,5200,London,ON,,
Long Beach State University,Basketball,,LBS Pyramid,4200,Long Beach,CA,,
USC,Football,,Los Angeles Memorial Coliseum,71349,Los Angeles,CA,34.0139159,-118.2877996
Dodgers,Baseball,MLB,Dodger Stadium,56000,Los Angeles,CA,34.0736255,-118.2398452
LAFC,Soccer,MLS,BMO Stadium,22000,Los Angeles,CA,34.012814,-118.2840892
Lakers,Basketball,NBA,Crypto.com Arena,19079,Los Angeles,CA,34.0429979,-118.2671352
UCLA,Basketball,,Pauley Pavilion,13800,Los Angeles,CA,34.0704868,-118.4467767
UCLA,Soccer,,Drake Stadium,11700,Los Angeles,CA,34.0721018,-118.4485339
USC,Basketball,,Galen Center,10258,Los Angeles,CA,34.020753,-118.2797965
Loyola Marymount University,Basketball,,Gersten Pavilion,4156,Los Angeles,CA,33.9677033,-118.4155929
University of Louisville,Football,,L&N Stadium,59823,Louisville,KY,38.2060162,-85.7587734
University of Louisville,Basketball,,KFC Yum! Center,22090,Louisville,KY,38.2576964,-85.7538599
Louisville City,Soccer,USL Championship,Lynn Family Stadium,11600,Louisville,KY,38.2593321,-85.7325522
Bats,Baseball,IL,Louisville Slugger Field,11522,Louisville,KY,38.2564512,-85.7436241
University of Louisville,Baseball,,Jim Patterson Stadium,4000,Louisville,KY,38.2057696,-85.7623635
Colorado Eagles,Hockey,AHL,Blue Arena,5089,Loveland,CO,40.4441235,-104.9894091
UMass Lowell,Hockey,,Tsongas Center,6003,Lowell,MA,42.6502383,-71.3132561
UMass Lowell,Baseball,,LeLacheur Park,4767,Lowell,MA,42.6534448,-71.3178561
Texas Tech University,Football,,Jones AT&T Stadium,60229,Lubbock,TX,33.5912517,-101.8729503
Texas Tech University,Basketball,,United Supermarkets Arena,15098,Lubbock,TX,33.5812506,-101.886571
Texas Tech University,Baseball,,Dan Law Field,4432,Lubbock,TX,33.5887246,-101.8768715
Liberty University,Football,,Williams Stadium,25000,Lynchburg,VA,37.3543075,-79.1749196
Liberty University,Basketball,,Liberty Arena,4000,Lynchburg,VA,37.3493449,-79.1801903
Hillcats,Baseball,Carolina League,Bank of the James Stadium,4281,Lynchburg,VA,37.3929097,-79.1655483
North Shore Navigators,Baseball,NECBL,Fraser Field,3804,Lynn,MA,42.4739339,-70.9540731
Western Illinois University,Football,,Hanson Field,12368,Macomb,IL,40.468155,-90.6841095
Western Illinois University,Basketball,,Western Hall,5139,Macomb,IL,40.4715145,-90.6849474
Mercer University,Football,,Five Star Stadium,10200,Macon,GA,32.8269879,-83.6521683
Mayhem,Hockey,SPHL,Macon Coliseum,7182,Macon,GA,32.8419758,-83.6192127
Bacon,Baseball,Coastal Plain League,Luther Williams Field,3500,Macon,GA,32.8291057,-83.6138092
Rocket City Trash Pandas,Baseball,Southern League,Toyota Field,5500,Madison,AL,34.6841263,-86.7246039
University of Wisconsin,Football,,Camp Randall Stadium,76030,Madison,WI,43.0700531,-89.4126501
University of Wisconsin,Basketball,,Kohl Center,16838,Madison,WI,43.0694206,-89.3968776
University of Wisconsin,,Volleyball,UW Field House,10600,Madison,WI,,
High School Championship,Hockey,,Veterans Memorial Coliseum,7890,Madison,WI,43.0470738,-89.3789436
Mallards,Baseball,Northwoods League,Warner Park,6750,Madison,WI,43.1287029,-89.3719022
NCAA Tournament,Hockey,,SNHU Arena,10019,Manchester,NH,42.9866164,-71.4617581
NH Fisher Cats,Baseball,EL,Delta Dental Stadium,6500,Manchester,NH,42.9812986,-71.466344
Kansas State University,Football,,Bill Snyder Family Stadium,50000,Manhattan,KS,39.2020395,-96.5937762
Kansas State University,Basketball,,Bramlage Coliseum,11010,Manhattan,KS,39.2003162,-96.5938455
Minnesota St Univ.,Hockey,,Mayo Clinic Health System Event Center,4832,Mankato,MN,,
Minnesota State University,Basketball,,Taylor Center,4521,Mankato,MN,44.1457156,-93.9955766
High School Playoffs,Football,,Arlin Field,14000,Mansfield,OH,40.7640648,-82.5500425
Thrillville Thrilbillies,Baseball,Prospect League,Marion Stadium,3500,Marion,IL,37.7476733,-88.9623095
High School Playoffs,Basketball,,Bill Green Athletic Arena,7560,Marion,IN,,
Northern Michigan University,Football,,Superior Dome,8000,Marquette,MI,46.5603198,-87.3937097
Northern Michigan University,Hockey,,Berry Events Center,3802,Marquette,MI,46.5577004,-87.3925751
SW Minnesota State University,Basketball,,Recreation/Athletic Facility,4000,Marshall,MN,44.4539826,-95.7618809
University of Tennessee at Martin,Basketball,,Elam Center,4300,Martin,TN,36.3435887,-88.8679825
High School Playoffs,Basketball,,John Wooden Gymnasium,5500,Martinsville,IN,,
Cincinnati Open,Tennis,ATP,Lindner Family Tennis Center,11435,Mason,OH,39.346371,-84.2772789
Division II Championship,Football,,McKinney ISD Stadium,12000,McKinney,TX,33.1572345,-96.6609612
High School Championship,Football,,Chapman Field,8045,Mechanicsburg,PA,,
Tigers,Hockey,WHL,Co-op Place,6124,Medicine Hat,AB,,
University of Memphis,Football,,Simmons Bank Liberty Stadium,58318,Memphis,TN,35.1211305,-89.9774153
Grizzlies,Basketball,NBA,FedEx Forum,18400,Memphis,TN,35.1377871,-90.0516168
Redbirds,Baseball,IL,AutoZone Park,13480,Memphis,TN,35.1428066,-90.0500114
Chicago Cubs - Baseball,Spring Training,,Sloan Park,10800,Mesa,AZ,33.4313901,-111.8816374
Oakland A’s - Baseball,Spring Training,,Hohokam Stadium,7400,Mesa,AZ,33.4385895,-111.8300819
NOLA Gold - Rugby,,MLR,The Gold Mine,10000,Metairie,LA,,
Dolphins,Football,NFL,Hard Rock Stadium,65326,Miami Gardens,FL,25.9579032,-80.2388497
Marlins,Baseball,MLB,loanDepot Park,36742,Miami,FL,25.7780733,-80.219554
Heat,Basketball,NBA,Kaseya Arena,19600,Miami,FL,25.7813596,-80.1879435
Florida International University,Football,,Pitbull Stadium,20000,Miami,FL,25.7524884,-80.3778903
Florida International University,Basketball,,Ocean Bank Convocation Center,5000,Miami,FL,25.7569394,-80.3798026
High School Playoffs,Basketball,,Michigan City High School Gym,7304,Michigan City,IN,,
Great Lakes Loons,Baseball,Midwest League,Dow Diamond,3500,Midland,MI,43.6090019,-84.2367521
West Texas SC,Soccer,NPSL,Astound Broadband Stadium,15000,Midland,TX,31.9893367,-102.1539155
RockHounds,Baseball,Texas League,Momentum Bank Ballpark,4709,Midland,TX,31.9870867,-102.1544108
Georgia College,Basketball,,Centennial Center,4071,Milledgeville,GA,33.0766421,-83.2340045
Brewers,Baseball,MLB,American Family Field,41900,Milwaukee,WI,43.028631,-87.9731585
Bucks,Basketball,NBA,Fiserv Forum,17341,Milwaukee,WI,43.0450096,-87.9174871
Admirals,Hockey,AHL,UWM Panther Arena,9450,Milwaukee,WI,43.0422882,-87.916952
Marquette University,,Volleyball,Al McGuire Center,3700,Milwaukee,WI,43.0396198,-87.9267551
Vikings,Football,NFL,U.S. Bank Stadium,66665,Minneapolis,MN,44.9751097,-93.2593387
University of Minnesota,Football,,Huntington Bank Stadium,50805,Minneapolis,MN,44.9765397,-93.2240767
Twins,Baseball,MLB,Target Field,38885,Minneapolis,MN,44.9816845,-93.2778643
Minnesota Timberwolves,Basketball,NBA,Target Center,18798,Minneapolis,MN,44.9795917,-93.2759828
University of Minnesota,Basketball,,Williams Arena,14625,Minneapolis,MN,44.9769776,-93.2282704
University of Minnesota,Hockey,,3M Arena at Mariucci,10257,Minneapolis,MN,,
University of Minnesota,,Volleyball,Maturi Pavilion,5840,Minneapolis,MN,,
Minot State University,Basketball,,Minot State Dome,6000,Minot,ND,,
G,Basketball,League,Paramount Fine Foods Centre,5311,Mississauga,ON,,
University of Montana,Football,,Washington-Grizzly Stadium,25217,Missoula,MT,46.8639864,-113.9814009
University of Montana,Basketball,,Dahlberg Arena,7322,Missoula,MT,,
PaddleHeads,Baseball,Pioneer League,Ogren Park at Allegiance Field,3500,Missoula,MT,46.8736282,-114.0069968
University of South Alabama,Football,,Hancock Whitney Stadium,25450,Mobile,AL,30.6969319,-88.1925624
University of South Alabama,Basketball,,Mitchell Center,10041,Mobile,AL,30.6922829,-88.1796877
University of South Alabama,Baseball,,Stanky Field,3775,Mobile,AL,30.6916681,-88.1843193
Nuts,Baseball,California League,John Thurman Field,4000,Modesto,CA,37.6225264,-121.0007428
Quad City Storm,Hockey,SPHL,Vibrant Arena,9000,Moline,IL,41.507997,-90.5204015
Wildcats,Hockey,QMJHL,Avenir Centre,8750,Moncton,NB,,
University of Louisiana at Monroe,Football,,Malone Stadium,30000,Monroe,LA,32.5308993,-92.0660396
University of Louisiana at Monroe,Basketball,,Fant-Ewing Coliseum,7000,Monroe,LA,,
Moccasins,Hockey,FPHL,Monroe Civic Center,5600,Monroe,LA,32.5029401,-92.1073091
Alabama State University,Football,,ASU Stadium,26500,Montgomery,AL,32.3642384,-86.2907553
Salute to Veterans Bowl,Football,,Cramton Bowl,21000,Montgomery,AL,32.3794954,-86.2931416
High School Playoffs,Basketball,,Garrett Coliseum,8500,Montgomery,AL,32.4029855,-86.2712073
Alabama State University,Basketball,,Dunn-Oliver Acadome,5000,Montgomery,AL,32.3618436,-86.2931798
High School Championship,Baseball,,Paterson Field,7000,Montgomery,AL,32.3821506,-86.2911679
Biscuits,Baseball,Southern League,Riverwalk Stadium,6000,Montgomery,AL,32.3819121,-86.3112221
Alouettes,Football,CFL,Percival Molson Memorial Stadium,23420,Montreal,QC,,
Canadiens,Hockey,NHL,Bell Centre,21288,Montreal,QC,,
CF Montreal,Soccer,MLS,Saputo Stadium,20801,Montreal,QC,,
National Bank Open,Tennis,ATP,IGA Stadium,11715,Montreal,QC,,
Alliance,Basketball,CEBL,Verdun Auditorium,3500,Montreal,QC,,
Robert Morris University,Basketball,,UPMC Events Center,4000,Moon Township,PA,40.5202687,-80.2146739
Warriors,Hockey,WHL,Moose Jaw Events Centre,4665,Moose Jaw,SK,,
Barre RailRiders,Baseball,IL,PNC Field,7115,Moosic,PA,41.3604467,-75.6840997
Saint Mary’s College,Basketball,,UCU Pavilion,3500,Moraga,CA,,
Morehead State University,Football,,Jayne Stadium,10000,Morehead,KY,38.1921032,-83.425491
Morehead State University,Basketball,,Ellis T. Johnson Arena,6500,Morehead,KY,,
West Virginia University,Football,,Milan Puskar Stadium,60000,Morgantown,WV,39.6501842,-79.9549877
West Virginia University,Basketball,,Hope Coliseum,14000,Morgantown,WV,,
University of Idaho,Football,,Kibbie Dome,15250,Moscow,ID,46.726241,-117.0174374
University of Idaho,Basketball,,ICCU Arena,4200,Moscow,ID,,
Hill Country Lobos,Soccer,USL League Two,Bob Shelton Stadium,8600,Mountain City,TX,30.0336763,-97.8890923
Central Michigan University,Football,,Kelly/Shorts Stadium,30255,Mount Pleasant,MI,43.5776228,-84.7710514
Central Michigan University,Basketball,,McGuirk Arena,5300,Mount Pleasant,MI,43.5815664,-84.774189
Ball State University,Football,,Scheumann Stadium,22500,Muncie,IN,40.2160071,-85.4168254
Ball State University,Basketball,,Worthen Arena,11500,Muncie,IN,40.2071179,-85.40616
Middle Tennessee State University,Football,,Floyd Stadium,27303,Murfreesboro,TN,35.8512874,-86.3682714
Middle Tennessee State University,Basketball,,Murphy Center,11520,Murfreesboro,TN,35.852395,-86.3695467
Murray State University,Football,,Roy Stewart Stadium,16800,Murray,KY,36.6212848,-88.3174792
Murray State University,Basketball,,CFSB Center,8600,Murray,KY,36.6226679,-88.3198817
Murray State University,,Volleyball,Racer Arena,5500,Murray,KY,36.6145325,-88.3205363
Lumberjacks,Hockey,USHL,Trinity Health Arena,3500,Muskegon,MI,,
Pelicans,Baseball,Carolina League,Pelicans Ballpark,4800,Myrtle Beach,SC,33.7114995,-78.8842588
Stephen F. Austin University,Football,,Homer Bryce Stadium,14575,Nacogdoches,TX,31.6255997,-94.6444011
Stephen F. Austin University,Basketball,,William R Johnson Coliseum,7203,Nacogdoches,TX,31.6222614,-94.6408794
High School Championship,Basketball,AWFC,Ford Idaho Center,12657,Nampa,ID,43.6080574,-116.5080492
Tennessee Titans,Football,NFL,Nissan Stadium,69143,Nashville,TN,36.1665236,-86.7713148
Vanderbilt University,Football,,FirstBank Stadium,35000,Nashville,TN,36.1439196,-86.8089205
Nashville SC,Soccer,MLS,Geodis Park,30000,Nashville,TN,36.130025,-86.7659442
Predators,Hockey,NHL,Bridgestone Arena,17159,Nashville,TN,36.1589806,-86.7783819
Vanderbilt University,Basketball,,Memorial Gymnasium,14316,Nashville,TN,36.1445214,-86.8072775
Tennessee State University,Basketball,,Gentry Arena,9100,Nashville,TN,,
Kats,Indoor Football,AF1,Nashville Municipal Auditorium,8830,Nashville,TN,36.1673832,-86.7821984
Sounds,Baseball,IL,First Horizon Park,8500,Nashville,TN,36.1725226,-86.7845981
Lipscomb University,Basketball,,Allen Arena,5028,Nashville,TN,36.1037647,-86.7989111
Belmont University,Basketball,,Curb Event Center,5000,Nashville,TN,36.1325887,-86.7944779
Vanderbilt University,Baseball,,Charles Hawkins Field,3626,Nashville,TN,,
Northwestern State University,Football,,Turpin Stadium,15971,Natchitoches,LA,31.7475094,-93.0962115
University of Delaware,Football,,Delaware Stadium,18077,Newark,DE,39.6616707,-75.7488991
University of Delaware,Basketball,,Bob Carpenter Center,5000,Newark,DE,39.6602565,-75.7507752
New Jersey Devils,Hockey,NHL,Prudential Center,17625,Newark,NJ,40.7334302,-74.1711482
NJIT,Basketball,,Bloom Wellness and Events Center,3500,Newark,NJ,,
Bees,Baseball,Futures League,New Britain Stadium,6146,New Britain,CT,41.6485533,-72.7751307
High School Playoffs,Basketball,,New Castle Fieldhouse,7829,New Castle,IN,,
Yale University,Football,,Yale Bowl,61446,New Haven,CT,41.3132269,-72.9604854
Yale University,Hockey,,Ingalls Rink,3500,New Haven,CT,41.3168105,-72.9250035
Saints,Football,NFL,Caesars Superdome,73208,New Orleans,LA,29.9510489,-90.0823076
Tulane University,Football,,Yulman Stadium,30000,New Orleans,LA,29.9446509,-90.1160511
Pelicans,Basketball,NBA,Smoothie King Center,16211,New Orleans,LA,29.9490393,-90.082069
University of New Orleans,Basketball,,Lakefront Arena,8785,New Orleans,LA,30.030105,-90.0505067
Tulane University,Baseball,,Turchin Stadium,5000,New Orleans,LA,29.9461816,-90.1156165
Tulane University,Basketball,,Devlin Fieldhouse,4000,New Orleans,LA,,
Rangers,Hockey,NHL,Madison Square Garden,18006,New York,NY,40.7505129,-73.9935159
Columbia University,Football,,Lawrence A. Wien Stadium,17000,New York,NY,40.8732414,-73.9164568
Niagara Power,Baseball,PGCBL,Sal Maglie Stadium,4000,Niagara Falls,NY,43.1007446,-79.0246546
Mahoning Valley Scrappers,Baseball,Draft League,Eastwood Field,6000,Niles,OH,41.2187822,-80.7548325
Norfolk State University,Football,,Dick Price Stadium,30000,Norfolk,VA,36.8473921,-76.2600129
Old Dominion University,Football,,S.B Ballard Stadium,21944,Norfolk,VA,,
Tides,Baseball,IL,Harbor Park,11856,Norfolk,VA,36.8440124,-76.278031
Admirals,Hockey,ECHL,Norfolk Scope Arena,8701,Norfolk,VA,,
Old Dominion University,Basketball,,Chartway Arena,8472,Norfolk,VA,36.8841357,-76.3013793
Norfolk State University,Basketball,,Echols Hall,4500,Norfolk,VA,36.8479811,-76.2581611
Illinois State University,Football,,Hancock Stadium,12440,Normal,IL,40.5123522,-88.9963857
Illinois State University,Basketball,,CEFCU Arena,10200,Normal,IL,40.510684,-88.9987907
CornBelters,Baseball,Prospect League,The Corn Crib,4200,Normal,IL,40.5340963,-89.0039536
U. of Oklahoma,Football,,Gaylord Family-Oklahoma Memorial Stadium,80126,Norman,OK,35.2056786,-97.4422642
University of Oklahoma,Basketball,,Lloyd Noble Center,11562,Norman,OK,35.1870198,-97.444314
University of Oklahoma,,Volleyball,McCasland Field House,4640,Norman,OK,35.2079683,-97.442318
Augusta GreenJackets,Baseball,Carolina League,SRP Park,4782,North Augusta,SC,33.4844131,-81.9742113
Battalion,Hockey,OHL,Boart Longyear Memorial Gardens,4250,North Bay,ON,,
S. Carolina Stingrays,Hockey,ECHL,North Charleston Coliseum,10537,North Charleston,SC,32.865567,-80.0223423
University of Arkansas,Basketball,,Simmons Bank Arena,18000,North Little Rock,AR,,
Arkansas Travelers,Baseball,Texas League,Dickey-Stephens Park,7000,North Little Rock,AR,34.7548431,-92.2726067
Atlanta Braves - Baseball,Spring Training,,CoolToday Park,6200,North Port,FL,27.0314949,-82.318063
