col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url
Kareem Aburashed,C,6-10,235,Central Michigan,Sr,-,West Bloomfield (MI),Detroit Country Day School,nan
Niko Abusara,G,6-5,185,Dartmouth,Jr,-,Chicago (IL),Benet Academy,nan
Luca Ace-Nasteski,C,6-10,225,Harvard,Jr,-,Manly (NSW),Scots College,nan
Achor Achor,F,6-9,230,Mississippi State,Sr,"Jan 13, 2002",Melbourne (VIC),Greenforest Christian High School,nan
Andrej Acimovic,C,6-10,240,Indiana,Fr,"Mar 15, 2006",Bijeljina,N/A,nan
Eric Acker,G,6-2,160,La Salle,Jr,-,New York (NY),Eagle Academy For Young Men,nan
"Darius Acuff, Jr.",G,6-2,180,Arkansas,Fr,"Nov 16, 2006",Detroit (MI),IMG Academy,nan
Emmett Adair,F,6-9,N/A,Loyola (MD),Fr,"Jan 25, 2006",Ryde (NSW),NBA Global Academy,nan
Hunter Adam,F,6-7,220,Davidson,Jr,"Sep 29, 2004",Christchurch,Christ's College,nan
Darius Adams,G,6-5,175,Maryland,Fr,-,Manasquan (NJ),La Lumiere School,nan
"Marcus Adams, Jr.",SF,6-8,195,Arizona State,Jr,"Jan 15, 2005",Harbor City (CA),Narbonne High School,nan
Ray Adams,F,6-8,193,Seattle,Fr,-,Olympia (WA),North Thurston High School,nan
Muazibini Adamu,C,6-10,211,Delaware State,So,"Jul 7, 2003",Accra,Putnam Science Academy,nan
Alfredo Addesa,C,6-10,205,Lehigh,So,-,Monza,Perkiomen School,nan
Dola Adebayo,F,6-8,210,George Mason,Sr,-,Ocala (FL),Canterbury School,nan
Sola Adebisi,F,6-7,205,The Citadel,Jr,"Apr 1, 2002",Milton (GA),Cambridge High School,nan
Omar Adegbola,G,6-4,205,Northwestern State,So,-,Houston (TX),Montverde Academy,nan
Maison Adeleye,PG,6-3,185,New Haven,Sr,-,Arlington (TX),Seguin High School,nan
Alijah Adem,G,6-2,160,Bowling Green,Fr,-,Las Vegas (NV),Spring Valley High School,nan
Sully Adewale,PF,6-8,225,Albany,Jr,"Nov 19, 2003",London,Neumann-Goretti High School,nan
Henri Adiassa,C,6-11,240,Lehigh,Sr,-,Yaounde,Crossroads School,nan
Carmelo Adkins,GF,6-4,185,USC Upstate,So,-,Keller (TX),Western Reserve Academy,nan
Christopher Adlam,G,6-4,185,East Texas A&M,So,-,Houston (TX),Houston Christian High School,nan
Tamario Adley,GF,6-1,195,Central Michigan,Sr,-,Detroit (MI),De La Salle High School,nan
Dominique Aekins,PG,5-10,155,Duquesne,Fr,-,Columbus (OH),Walnut Ridge High School,nan
Ryan Agarwal,F,6-6,205,Stanford,Jr,-,Coppell (TX),Coppell High School,nan
Obi Agbim,G,6-3,180,Baylor,Sr,"Aug 30, 2002",Denver (CO),Rangeview High School,nan
Rashaun Agee,F,6-7,231,Texas A&M,Sr,"Nov 2, 2000",Chicago (IL),Bogan High School,nan
"Bol Agu, Jr.",F,6-8,235,Saint Peter's,Jr,-,Winnipeg (MB),Potter's House Christian Academy,nan
Kenyon Aguino,F,6-7,205,Montana,Fr,-,Albuquerque (NM),Volcano Vista High School,nan
Kwo Agwa,F,6-6,215,Texas-RGV,Sr,-,Calgary,Kearns High School,nan
Josh Ahayere,G,6-4,215,Colgate,So,-,Morinville,Crestwood Preparatory College,nan
Tishan Ahir,G,5-11,150,UC Irvine,So,-,La Canada Flintridge (CA),Crescenta Valley High School,nan
Abdullah Ahmed,C,6-10,220,Brigham Young,Fr,"Nov 3, 2003",N/A,N/A,nan
Ben Ahmed,C,6-10,300,Oklahoma State,Fr,-,Koji,Putnam Science Academy,nan
Tommy Ahneman,C,6-10,235,Notre Dame,Fr,-,West Fargo (ND),Cretin Derham Hall High School,nan
Spencer Ahrens,C,6-10,230,Boise State,Fr,"Oct 16, 2006",Oakville (ON),Bella Vista College Prep,nan
Weston Aigner,G,6-3,N/A,Evansville,Jr,-,Newburgh (IN),Castle High School,nan
Favour Aire,C,6-11,220,Coppin State,Sr,-,Ekpoma,Bishop McNamara High School,nan
Michael Ajayi,F,6-7,228,Butler,Sr,"Jun 23, 2003",Kent (WA),Kentwood High School,nan
Ola Ajiboye,PF,6-8,205,Southern Indiana,Sr,-,Evanston (IL),Evanston Township High School,nan
Justice Ajogbor,C,6-10,262,Saint Joseph's,Sr,"Oct 28, 2001",Benin City,Christ School,nan
Kosy Akametu,G,6-5,215,Iona,Jr,-,Carson (CA),King Drew Magnet High School,nan
Bryan Akanmu,F,6-6,230,Wagner,Jr,-,Paris,Myerscough College,nan
Roor Akhuar,F,6-7,200,Fordham,Fr,"Apr 29, 2007",Canberra (ACT),The Centre of Excellence,nan
Akintola Akinniyi,C,6-7,225,Quinnipiac,So,-,Denton (TX),John H. Guyer High School,nan
Sebastian Akins,G,6-2,175,Wake Forest,So,-,Concord (NC),1 of 1 Academy,nan
Jeffrey Akintolu,C,6-7,210,N.J.I.T.,Jr,"Feb 21, 2003",Wellingborough,Avon Old Farms High School,nan
Daniel Akitoby,F,6-9,240,Texas-San Antonio,Sr,-,Fairfax (VA),Falls Church High School,nan
Daniel Akoue,PF,6-10,N/A,Bryant,Fr,"Nov 18, 2005",Liberville,Mt. Zion Prep,nan
Josh Akpovwa,F,6-8,235,Texas Southern,Jr,-,Houston (TX),Seven Lakes High School,nan
Andrew Akuchie,F,6-11,215,Rice,Sr,-,Fort Lauderdale (FL),St. Thomas Aquinas High School,nan
Totu Akuentok,C,6-10,240,Texas Tech,Fr,"May 12, 2006",Edmonton,Fort Erie International Academy,nan
Ralph Akuta,C,7-1,285,Drexel,So,-,Ijamsville (MD),Bishop Walsh High School,nan
Cody Al-Naziat,G,6-2,N/A,Southeastern Louisiana,Fr,-,Hammond (LA),Ponchatoula High School,nan
Kevin Alabi,F,6-9,210,Alabama State,So,-,Brampton (ON),Skyline High School,nan
Sam Alamutu,G,6-5,215,Wright State,Sr,-,Lagos,Rothesay Netherwood School,nan
Xander Alarie,F,6-8,233,Northeastern,Fr,-,Potomac (MD),St. Andrew's Episcopal School,nan
Jamal Albritton,F,6-9,245,North Alabama,Sr,-,Montgomery (AL),Julian High School,nan
Deyton Albury,G,6-2,190,New Mexico,Sr,"Apr 11, 2002",Nassau,Sunrise Christian Academy,nan
Merritt Alderink,F,6-7,220,Eastern Michigan,So,-,Zeeland (MI),Zeeland West High School,nan
Andrew Alekseyenko,F,6-8,230,Colgate,Fr,-,Brookline (MA),Rivers School,nan
Samson Aletan,C,6-10,223,Yale,Jr,"Jan 14, 2005",Dallas (TX),Lake Highlands High School,nan
Aidan Alexander,F,6-4,180,The Citadel,Fr,-,Charleston (SC),Bishop England High School,nan
Cole Alexander,F,6-7,220,Fairleigh Dickinson,Sr,-,Charleston (SC),Bishop England High School,nan
Harrison Alexander,F,6-5,190,SIU-Edwardsville,So,"Sep 28, 2004",Madison (MS),Madison-Ridgeland Academy,nan
Jaden Alexander,G,6-4,207,Cal State Bakersfield,Jr,-,Vallejo (CA),St. Patrick-St. Vincent High School,nan
Jayden Alexander,G,6-1,170,Long Beach State,Fr,-,Los Angeles (CA),Sierra Canyon School,nan
Kyrone Alexander,G,6-5,200,Boston University,Jr,-,Brooklyn (NY),South Shore High School,nan
Logan Alexander,PF,6-10,185,North Texas,Fr,-,Houston (TX),Our Saviour Lutheran School,nan
Sam Alexis,F,6-9,238,Indiana,Sr,"Oct 14, 2004",Apopka (FL),Apopka High School,nan
Amier Ali,SF,6-8,210,Mississippi State,So,"Mar 27, 2005",Little Elm (TX),Canyon International Academy,nan
Andrew Alia,G,6-3,195,Drake,Jr,-,Kenosha (WI),St. Joseph High School,nan
Prince Aligbe,F,6-7,235,Southern Illinois,Sr,-,Minneapolis (MN),Minnehaha Academy,nan
Rolyns Aligbe,F,6-9,240,Southern Illinois,So,-,Minneapolis (MN),Minnehaha Academy,nan
Gediminas Alisas,F,6-6,212,Stephen F. Austin,So,"Jan 16, 2004",Taurage,N/A,nan
Will Aljancic,F,6-6,220,Holy Cross,Jr,-,Louisville (OH),Louisville High School,nan
Marvel Allen III,GF,6-4,205,Utah Tech,So,"Oct 29, 2004",Palm Beach Gardens (FL),Montverde Academy,nan
Amare Allen,F,6-7,N/A,Maine,So,-,Ajax (ON),C.O.D.E. Academy,nan
Amari Allen,F,6-8,180,Alabama,Fr,"Jan 26, 2006",Kaukauna (WI),IMG Academy,nan
Corbin Allen,F,6-5,180,Kansas,Fr,-,Kansas City (MO),Oak Park High School,nan
Dante Allen,G,6-4,220,Miami (FL),Fr,-,Miami (FL),Montverde Academy,nan
Drake Allen,G,6-4,190,Utah State,Sr,-,Eagle Mountain (UT),Westlake High School,nan
Justin Allen,G,6-4,N/A,Green Bay,Sr,-,Mt. Kisco (NY),Fox Lane High School,nan
Marcus Allen,F,6-7,220,Miami (FL),So,"Feb 7, 2005",Miami (FL),Miami Norland High School,nan
Nick Allen,C,6-10,230,Illinois State,Fr,-,Bradley (IL),Bradley Bourbonnais Community High School,nan
Quincy Allen,GF,6-8,205,Bryant,Sr,"Jul 2, 2002",Silver Spring (MD),Maret High School,nan
Will Allen,F,6-7,225,Louisiana Tech,Sr,"Oct 28, 2001",New Orleans (LA),Bonnabel,nan
Riley Allenspach,C,6-11,247,George Mason,Jr,-,Charlotte (NC),Providence Day School,nan
Vasean Allette,G,6-2,195,Texas-San Antonio,Jr,"Apr 28, 2004",Thornhill (ON),Thornlea Secondary School,nan
Luke Allison,G,6-0,170,Presbyterian,So,-,Missoula (MT),Sentinel High School,nan
Luke Almodovar,G,6-3,190,Southeast Missouri State,Jr,-,Noblesville (IN),Noblesville High School,nan
Bruno Alocen,F,6-6,180,Indiana State,So,"Apr 16, 2006",Manresa,N/A,nan
Aleks Alston,C,6-10,204,Maryland,Fr,-,Chicago (IL),Kenwood Academy,nan
Christian Alston,F,6-7,200,Abilene Christian,So,-,Memphis (TN),Bartlett High School,nan
Markell Alston,G,6-1,185,UCLA,Fr,-,Queens (NY),Christ the King,nan
Torey Alston,FC,6-9,210,Middle Tennessee State,So,"Aug 14, 2004",Durham (NC),Winston Salem Christian School,nan
Ryan Altman,F,6-6,200,Pennsylvania,Fr,-,Chestnut Hill (MA),Rivers School,nan
A.J. Altobelli,G,5-10,N/A,N.J.I.T.,Fr,-,Westfield (NJ),Union Catholic Regional High School,nan
Salih Altuntas,C,6-10,280,Miami (FL),Fr,"Feb 27, 2006",N/A,N/A,nan
Bubz Alvarez,F,6-5,200,South Dakota State,So,-,Houston (TX),Heights High School,nan
Diogo Alves,G,6-2,N/A,Radford,Fr,"Feb 10, 2006",N/A,Tualatin High School,nan
Hank Alvey,FC,6-9,240,Lehigh,So,-,Mapleton (IL),Illini Bluffs High School,nan
Eugene Alvin,F,6-7,225,Morgan State,Jr,-,Fort Myers (FL),Gateway Charter School,nan
Justin Amadi,PF,6-7,225,Mount St. Mary's,Sr,-,Simpsonville (SC),Dorman High School,nan
Papa Amadou Kante,C,6-10,235,Pittsburgh,So,"Oct 27, 2003",Dakar,South Kent School,nan
Al Amadou,PF,6-9,205,Saint Joseph's,So,-,Quakertown (PA),Chestnut Hill Academy,nan
Richard Amaefule,PF,6-9,230,Grambling State,Sr,"Nov 21, 2000",London,Woodrow Wilson High School,nan
Leo Amari IV,G,6-2,170,Evansville,Jr,-,Sherman Oaks (CA),Viewpoint School,nan
Cam Amboree,G,6-3,160,Southern,Sr,-,Pearland (TX),Shadow Creek High School,nan
Charvez Ambrose,F,6-6,175,Middle Tennessee State,Jr,-,Memphis (TN),Bartlett High School,nan
Jamal Ambrose,C,6-10,250,Texas A&M-CC,Jr,-,Apple Valley (MN),Eastview High School,nan
Davis Ambuehl,F,6-9,245,Sacramento State,Sr,-,Los Angeles (CA),Palisades Charter High School,nan
Uchenna Amene,G,6-0,180,Central Michigan,Fr,-,Detroit (MI),DME Academy,nan
Noah Amenhauser,C,7-2,240,Oregon State,Jr,"Aug 17, 2004",Goodyear (AZ),Estrella Foothills High School,nan
Nate Ament,F,6-9,190,Tennessee,Fr,"Dec 10, 2006",Manassas (VA),Highland School,nan
Dai Dai Ames,PG,6-2,190,California,Jr,"Jun 2, 2005",Chicago (IL),Kenwood Academy,nan
"M.J. Amey, Jr.",F,6-2,205,Loyola Marymount,Sr,-,Vacaville (CA),Vacaville High School,nan
Klairus Amir,F,6-7,180,Campbell,Fr,"May 4, 2005",Marietta (GA),Dream City Christian School,nan
Amar Amkou,PG,6-7,210,Florida Atlantic,Fr,"Nov 15, 2005",Thies,NBA Academy Africa,nan
Miles Amos,G,6-2,200,Seattle,Jr,-,San Francisco (CA),Stuart Hall High School,nan
Xavier Amos,F,6-8,220,Loyola (IL),Sr,-,Chicago (IL),Whitney Young High School,nan
Connor Amundsen,G,5-11,N/A,Dartmouth,So,-,Fresno (CA),Clovis North High School,nan
J.T. Amundsen,G,5-8,160,Northern Arizona,Fr,-,Goodyear (AZ),Millennium High School,nan
Brian Amuneke,G,6-5,184,Wichita State,So,-,Los Angeles (CA),Rancho Christian School,nan
Seth Amunrud,GF,6-3,164,Montana State,Jr,-,Bozeman (MT),Manhattan High School,nan
Abdullah Amzil,F,6-7,210,UC Davis,Fr,"Aug 30, 2005",Helsinki,N/A,nan
Aitor Anabitarte,C,6-8,216,Jacksonville State,Sr,"Mar 12, 2002",San Sebastian,N/A,nan
Roddie Anderson III,G,6-3,190,Xavier,Sr,"Mar 29, 2004",Huntington Beach (CA),Fountain Valley High School,nan
Courtney Anderson Jr.,G,6-5,192,Montana,So,"Aug 15, 2005",Vallejo (CA),Dublin High School,nan
Alex Anderson,F,6-6,200,Texas Southern,Sr,-,Memphis (TN),Tipton-Rosemark Academy,nan
Amare Anderson,G,6-1,180,Presbyterian,Fr,-,Greer (SC),Greer High School,nan
Asjon Anderson,G,6-2,174,Alabama State,Sr,-,Tacoma (WA),Mount Tahoma High School,nan
Blake Anderson,G,6-3,200,Miami (OH),Jr,-,Evansville (IN),Evansville Memorial High School,nan
DayJuan Anderson,G,6-2,180,UAB,So,-,Dayton (OH),Ponitz Career Technology Center,nan
Derrick Anderson,G,6-1,180,Youngstown State,Sr,-,Youngstown (OH),Boardman High School,nan
Dylan Anderson,C,7-0,235,Murray State,Jr,-,Gilbert (AZ),Perry High School,nan
Evan Anderson,G,6-4,N/A,South Dakota,Fr,-,Onalaska (WI),Onalaska High School,nan
Garrett Anderson,F,6-6,195,North Dakota,Sr,-,Phoenix (AZ),PPHoenix College Prep,nan
Jack Anderson,G,6-4,185,American University,Fr,-,San Jose (CA),Menlo-Atherton High School,nan
Jermaurhiyun Anderson,G,6-4,180,Louisiana Tech,So,-,Greenville (SC),Quality Education Academy,nan
JoJo Anderson,G,6-1,180,Eastern Washington,Sr,-,Spokane (WA),Mt. Spokane High School,nan
"Christian Anderson, Jr.",G,6-2,175,Texas Tech,So,"Apr 2, 2006",Atlanta (GA),Oak Hill Academy,nan
"Nick Anderson, Jr.",G,6-5,195,Rice,Sr,-,League City (TX),Clear Creek High School,nan
Luke Anderson,F,6-8,200,Bellarmine,So,-,Goshen (KY),North Oldham High School,nan
Makhai Anderson,GF,6-6,195,Wagner,So,-,Hamden (CT),Solebury Prep School,nan
Nic Anderson,G,6-4,180,Loyola (IL),Fr,-,Olathe (KS),Olathe South High School,nan
Terry Anderson,SF,6-6,202,High Point,Sr,-,Deer Park (TX),Deer Park High School,nan
Treyson Anderson,C,6-9,240,North Dakota State,So,-,Lincoln (NE),Pius X High School,nan
Tucker Anderson,F,6-9,210,Utah State,Jr,-,Centerton (AR),Bentonville High School,nan
Zach Anderson,G,6-3,185,Sacramento State,Jr,-,Scottsdale (AZ),Desert Mountain High School,nan
Anthony Andrews,F,6-7,215,Texas Southern,Fr,-,Bellaire (TX),Bellaire High School,nan
Dylan Andrews,G,6-3,180,Boise State,Sr,-,Los Angeles (CA),AZ Compass Prep,nan
Mario Andrews,F,6-7,200,Alabama State,Sr,-,Independence (LA),Independence High School,nan
Torrin Andrews,G,6-4,190,Coppin State,Sr,-,West Palm Beach (FL),Forest High School,nan
Tyler Andrews,G,6-6,205,Bethune-Cookman,Sr,-,Cedar Rapids (IA),Kimball Union Academy,nan
Walker Andrews,G,6-1,170,Virginia Military,So,-,Fincastle (VA),Northfield Mount Hermon School,nan
Cole Andrews-Heitz,G,6-1,170,Rice,Jr,-,Leander (TX),Rouse High School,nan
Denver Anglin,PG,6-1,185,Iona,Jr,-,Peapack-Gladstone (NJ),Gill St. Bernard's School,nan
Ethan Anish,G,6-1,170,Duquesne,So,-,Pittsburgh (PA),Allderdice High School,nan
C.J. Anthony,G,6-0,195,Iona,Sr,-,Canal Winchester (OH),Harvest Preparatory School,nan
Kevin Anthony,C,6-10,245,Lindenwood,Jr,-,Chicago (IL),Von Steuben High School,nan
Kiyan Anthony,F,6-5,185,Syracuse,Fr,"Mar 7, 2007",New York (NY),Long Island Lutheran High School,nan
Vere Anthony,G,6-0,190,New Haven,Fr,-,Queens (NY),St. Francis Preparatory School,nan
Kalu Anya,F,6-8,225,Saint Louis,Sr,-,Worcester (MA),IMG Academy,nan
Angok Anyang,F,6-9,215,Alabama A&M,Jr,-,Adelaide (SA),N/A,nan
J.J. Apathjang,G,6-4,160,Northern Kentucky,Fr,-,Salt Lake City (UT),Real Salt Lake Academy,nan
Jaymien Aponte,G,6-3,183,Rhode Island,So,-,Cranston (RI),Cranston High School West,nan
Braden Appelhans,SG,6-6,190,Drake,Jr,-,Blue Springs (MO),Western Reserve Academy,nan
Logan Applegate,G,6-2,185,The Citadel,Sr,-,Nevada (MO),We Are United Prep,nan
Parker Applegate,GF,6-8,210,Central Arkansas,Jr,-,Murfreesboro (TN),Franklin Road Academy,nan
Alden Applewhite,SG,6-7,210,Georgia Southern,Sr,"Feb 26, 2003",Memphis (TN),AZ Compass Prep,nan
Owen Aquino,PF,6-8,230,High Point,Sr,"Jan 8, 2003",Madrid,N/A,nan
Jean Aranguren,G,6-3,190,George Washington,Jr,"Jun 2, 2003",Valencia,Upper Room Christian High School,nan
Joaquim Arauz-Moore,G,6-1,175,Gonzaga,So,-,Ross (CA),The Branson School,nan
Terrance Arceneaux,F,6-6,205,NC State,Sr,"Nov 13, 2003",Beaumont (TX),Beaumont United High School,nan
Addison Archer,F,6-9,N/A,Northern Kentucky,Jr,-,Charlotte (NC),N/A,nan
Justin Archer,F,6-7,210,La Salle,Sr,-,New Brunswick (NJ),Holy Trinity High School,nan
Ryan Archey,G,6-0,170,North Carolina Central,So,"Oct 4, 2003",Clinton (MD),Gwynn Park High School,nan
Malek Archie,G,6-2,185,Tarleton State,Fr,-,McKinney (TX),McKinney High School,nan
Tyshawn Archie,G,6-0,164,McNeese State,Jr,-,Houston (TX),C.E. King High School,nan
Alijah Arenas,F,6-6,195,USC,Fr,"Mar 16, 2007",Chatsworth (CA),Chatsworth High School,nan
Aiden Argabright,PG,5-11,155,Richmond,Fr,-,Richmond (VA),John Marshall High School,nan
Chris Arias,F,6-6,205,Jacksonville,So,-,Jacksonville (FL),Providence School,nan
Maleek Arington,G,6-3,207,Seattle,Sr,-,Lake Tapps (WA),Auburn Senior High School,nan
Dwayne Aristode,F,6-8,215,Arizona,Fr,"Aug 17, 2006",Amsterdam,Brewster Academy,nan
Samuel Ariyibi,SF,6-8,190,Utah Tech,Sr,"Jan 6, 2002",Lagos,NBA Academy Africa,nan
Trey Arland,F,6-7,N/A,Idaho State,Jr,-,Kennewick (WA),Kamiakin High School,nan
Devon Arlington,G,6-3,190,Yale,Sr,-,San Marcos (CA),San Marcos High School,nan
Joel Armotrading,C,6-10,230,Nevada,Sr,-,London,N/A,nan
"D.J. Armstrong, Jr.",G,6-4,190,UMBC,Sr,-,Orlando (FL),Windermere Preparatory School,nan
Dylan Arnett,F,6-9,240,North Texas,Sr,-,Chicago (IL),DePaul College Prep,nan
Addison Arnold,G,6-3,185,Arizona,Jr,-,Simi Valley (CA),Royal High School,nan
Khalil Arnold,G,6-4,180,North Carolina Central,Jr,-,Greenville (SC),Legacy Early College,nan
Arop Arop,C,6-11,180,Memphis,Jr,-,Dallas (TX),Hotchkiss School,nan
Aryan Arora,G,6-1,190,Manhattan,Sr,-,Tuxedo Park (NY),IMG Academy,nan
Amir Arrington,G,5-10,170,George Washington,Jr,-,Atlanta (GA),The Galloway School,nan
"Anthony Arrington, Jr.",G,6-2,190,Mount St. Mary's,Jr,-,Atlanta (GA),The Galloway School,nan
Malachi Arrington,C,6-11,220,N.J.I.T.,So,-,Somerville (NJ),Immaculate Conception High School,nan
Cyril Arvanitis,GF,6-3,185,Robert Morris,Sr,-,Elberon (NJ),Red Bank Catholic High School,nan
Hamza Asadallah,G,6-1,N/A,Hampton,Fr,-,Kuwait City,N/A,nan
Hashem Asadallah,G,6-2,189,Georgetown,Jr,"Apr 2, 2005",Jabriya,The American School of Kuwait,nan
Kofi Asare,FC,6-10,240,St. Francis (PA),Fr,"Feb 3, 2006",Bradwell,Veritas Academy,nan
Jason Asemota,F,6-8,205,Boston College,So,"Oct 2, 2004",Lynn (MA),Hillcrest Prep,nan
Andreo Ash,PF,6-8,225,Canisius,Fr,-,Liverpool (NY),Canterbury School,nan
Chris Ashby,G,6-2,185,Queens University,Sr,-,Houston (TX),Atascocita High School,nan
Evan Ashe,G,6-3,190,Binghamton,Jr,-,Wake Forest (NC),The Winchendon School,nan
Will Ashford,SF,6-5,200,Central Michigan,So,-,Aurora (IL),Metea Valley High School,nan
Or Ashkenazi,G,6-5,N/A,Lipscomb,Fr,"Jul 8, 2003",Eilat,N/A,nan
"Jerry Ashley, Jr.",F,6-8,225,Navy,Fr,-,Cape Coral (FL),Bishop Verot High School,nan
Nico Ashley,F,6-7,180,Central Connecticut State,Sr,-,Elizabethton (TN),Elizabethton High School,nan
Devin Askew,G,6-5,195,Villanova,Sr,"Jul 26, 2002",Santa Ana (CA),Mater Dei High School,nan
Grant Asman,C,6-11,210,Lipscomb,Sr,-,Kimberly (WI),Kimberly High School,nan
Dennis Asoro,F,6-8,N/A,Arkansas-Pine Bluff,Sr,-,Columbus (OH),N/A,nan
Walker Asp,F,6-8,160,Northern Colorado,So,-,Colorado Springs (CO),Palmer High School,nan
Hayden Assemian,F,6-6,230,South Carolina,Fr,-,Greenville (SC),Moravian Prep,nan
Ali Assran,G,6-9,210,Cal Poly,Fr,"Apr 3, 2007",Cairo,NBA Academy Africa,nan
Isaac Asuma,PG,6-3,196,Minnesota,So,-,Cherry (MN),Cherry School,nan
Kuol Atak,F,6-9,192,Oklahoma,Fr,-,Haltom City (TX),Haltom High School,nan
Almar Atlason,PF,6-8,230,Miami (OH),Jr,"Dec 28, 2004",Reykjavik,Sunrise Christian Academy,nan
Donovan Atwell,SG,6-5,200,Texas Tech,Sr,"Jan 1, 2003",Davidson (NC),Davidson Day School,nan
Amar Augillard,GF,6-5,220,Milwaukee,Sr,"Sep 14, 2002",Zion (IL),Zion-Benton Township High School,nan
Trevor Augustine,G,6-2,180,Canisius,So,-,Grand Island (NY),N/A,nan
Ezra Ausar,F,6-9,253,USC,Sr,"Feb 14, 2003",Snellville (GA),Liberty Heights Athletic Institute,nan
Andrew Austin,F,6-7,220,Eastern Illinois,So,-,Rock Rapids (IA),Central Lyon High School,nan
Trey Autry,GF,6-4,200,George Washington,Jr,-,Jamesville (NY),Western Reserve Academy,nan
Neoklis Avdalas,GF,6-8,215,Virginia Tech,Fr,"Feb 4, 2006",Athens,N/A,nan
Robbie Avila,C,6-10,240,Saint Louis,Sr,"Sep 10, 2003",Oak Forest (IL),Oak Forest High School,nan
Alejandro Aviles,C,6-10,215,San Diego,Fr,"Oct 27, 2006",N/A,Dream City Christian School,nan
Rocco Awad,G,6-1,N/A,N.J.I.T.,Fr,-,Windsor (ON),London Basketball Academy,nan
Tobe Awaka,FC,6-8,250,Arizona,Sr,"Jan 30, 2004",Bronx (NY),Cardinal Hayes High School,nan
Hikaru Awata,G,5-7,170,Troy,Fr,-,Hachioji,Hachioji Academy,nan
John Awoke,G,6-3,185,Wagner,Jr,-,Alexandria (VA),Hayfield Secondary High School,nan
Augustine Ayelyine,C,6-10,210,Presbyterian,Fr,-,Sunyani,University Christian School,nan
Colin Ayers,G,6-0,170,Tennessee Tech,Fr,-,Cookeville (TN),Cookeville High School,nan
Joe Ayo,GF,6-9,180,Tennessee State,Sr,-,Baton Rouge (LA),Baton Rouge Magnet High School,nan
Luke Azzinaro,GF,6-5,185,Lafayette,Fr,-,Chatham (NJ),Delbarton School,nan
Gustavo Guimaraes,C,6-11,225,Bradley,Fr,"Mar 31, 2006",Sao Paulo,Riviera Preparatory School,nan
Sam Onu,C,6-11,260,Alabama A&M,Jr,-,Houston (TX),Phelps Prep,nan
Lucas Prolla,G,6-2,170,Duquesne,Jr,"Nov 3, 2004",Porto Alegre,N/A,nan
