index,school,name,team,citystate,type,subdivision,conference,profile_url,logo,football_stadium,baseball_stadium,basketball_stadium,softball_stadium,soccer_stadium,volleyball_stadium,ice_hockey_stadium,other_stadiums,color_hex
Baylor University,Baylor,Bears,Waco,TX,Private,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Baylor_Bears,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/250px-Baylor_Athletics_logo.svg.png,McLane Stadium,Baylor Ballpark,Foster Pavilion,Getterman Stadium,Betty Lou Mays Soccer Field,,,,"['#FFB81C', '#154734']"
Bellarmine University,Bellarmine,Knights,Louisville,KY,Private,Non-football[FB 2],Atlantic Sun Conference[FB 1],https://en.wikipedia.org/wiki/Bellarmine_Knights,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Bellarmine_knights_logo20.png/250px-Bellarmine_knights_logo20.png,,Knights Baseball Field,Knights Hall,Knights Softball Field,Owsley B. Frazier Stadium,,,,"['#CCCCCC', '#660000']"
Belmont University,Belmont,Bruins,Nashville,TN,Private,Non-football,Missouri Valley Conference,https://en.wikipedia.org/wiki/Belmont_Bruins,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Belmont_Bruins_logo.svg/250px-Belmont_Bruins_logo.svg.png,,E. S. Rose Park,Curb Event Center,E.S. Rose Park,E.S. Rose Park,,,,"['#C8102E', '#FFFFFF', '#00205B']"
Bethune–Cookman University,Bethune–Cookman,Wildcats,Daytona Beach,FL,Private,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Bethune%E2%80%93Cookman_Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bethune%E2%80%93Cookman_Wildcats_logo.svg/250px-Bethune%E2%80%93Cookman_Wildcats_logo.svg.png,Daytona Stadium,Jackie Robinson Ballpark,Moore Gymnasium,Sunnyland Park,,,,,"['#6F263D', '#F2A900']"
Boise State University,Boise State,Broncos,Boise,ID,Public,FBS,Mountain West Conference[C 3],https://en.wikipedia.org/wiki/Boise_State_Broncos,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Primary_Boise_State_Broncos_Athletics_Logo.svg/250px-Primary_Boise_State_Broncos_Athletics_Logo.svg.png,Albertsons Stadium,,ExtraMile Arena,,,,,,"['#0033A0', '#D64309']"
Boston College,Boston College,Eagles,Chestnut Hill[L 3],MA,Private,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Boston_College_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/250px-Boston_College_Eagles_logo.svg.png,Alumni Stadium,Eddie Pellagrini Diamond at Harrington Athletics Village,Conte Forum,,,,Kelley Rink,,"['#FFFFFF', '#8C2232', '#DBCCA6']"
Boston University,Boston University,Terriers,Boston,MA,Private,Non-football,Patriot League,https://en.wikipedia.org/wiki/Boston_University_Terriers,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/250px-Boston_University_Terriers_logo.svg.png,Nickerson Field (1953–97),,Case Gym,BU Softball Field,,,Agganis Arena,,"['#CC0000', '#FFFFFF']"
Bowling Green State University,Bowling Green,Falcons,Bowling Green,OH,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Bowling_Green_Falcons,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Bowling_Green_Falcons_logo.svg/250px-Bowling_Green_Falcons_logo.svg.png,Doyt Perry Stadium,Steller Field,Stroh Center,,,,Slater Family Ice Arena,,"['#4F2C1D', '#FF7300']"
Bradley University,Bradley,Braves,Peoria,IL,Private,Non-football,Missouri Valley Conference,https://en.wikipedia.org/wiki/Bradley_Braves,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/250px-Bradley_Braves_logo.svg.png,,Dozer Park,"Carver Arena (men's)
Renaissance Coliseum (men's and women's)",OSF Healthcare Field at Louisville Slugger Sports Complex,Shea Stadium,,,,"['#A50000', '#FFFFFF']"
Brigham Young University,BYU,Cougars,Provo,UT,Private,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/BYU_Cougars,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/BYU_Stretch_Y_Logo.png/250px-BYU_Stretch_Y_Logo.png,LaVell Edwards Stadium,Larry H. Miller Field,Marriott Center,Gail Miller Field,South Field,,,,"['#003DA5', '#FFFFFF']"
Brown University,Brown,Bears,Providence,RI,Private,FCS,Ivy League,https://en.wikipedia.org/wiki/Brown_Bears,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Brown_Bears_Athletics_logo.svg/120px-Brown_Bears_Athletics_logo.svg.png,Richard Gouse Field at Brown Stadium,Murray Stadium,Pizzitola Sports Center,Brown Softball Field,Stevenson Field,Pizzitola Sports Center,Meehan Auditorium,,"['#C00404', '#FFFFFF', '#4E3629']"
Bryant University,Bryant,Bulldogs,Smithfield,RI,Private,FCS,America East Conference[FB 3],https://en.wikipedia.org/wiki/Bryant_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bryant_Bulldogs_logo.svg/250px-Bryant_Bulldogs_logo.svg.png,Beirne Stadium,Conaty Park,Chace Athletic Center,,,,,,"['#B09863', '#231F20']"
Bucknell University,Bucknell,Bison,Lewisburg,PA,Private,FCS,Patriot League,https://en.wikipedia.org/wiki/Bucknell_Bison,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bucknell_Bison_logo.svg/250px-Bucknell_Bison_logo.svg.png,Christy Mathewson–Memorial Stadium,Eugene B. Depew Field,Sojka Pavilion,Becker Field,Emmitt Field at Holmes Stadium,Davis Gym,,,"['#003865', '#EF5B0C']"
Butler University,Butler,Bulldogs,Indianapolis,IN,Private,FCS,Big East Conference[FB 4],https://en.wikipedia.org/wiki/Butler_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/250px-Butler_Bulldogs_logo.svg.png,Bud and Jackie Sellick Bowl,Bulldog Park,Hinkle Fieldhouse,,,,,,"['#13294B', '#FFFFFF']"
California Baptist University,Cal Baptist,Lancers,Riverside,CA,Private,Non-football,Western Athletic Conference[C 4],https://en.wikipedia.org/wiki/California_Baptist_Lancers,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Cbu_lancers_logo.png/250px-Cbu_lancers_logo.png,,James W. Totman Stadium,Fowler Events Center,John C. Funk Stadium,CBU Soccer Stadium,,,,"['#002554', '#A07400']"
California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,CA,Public,FCS,Big West Conference[FB 5],https://en.wikipedia.org/wiki/Cal_Poly_Mustangs,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_Poly_Mustangs_logo.svg/250px-Cal_Poly_Mustangs_logo.svg.png,Alex G. Spanos Stadium,Robin Baggett Stadium,Robert A. Mott Athletics Center,Bob Janssen Field,Alex G. Spanos Stadium,,,,"['#B38F4F', '#F8E08E', '#154734']"
"California State University, Bakersfield",Bakersfield[N 1],Roadrunners,Bakersfield,CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/Cal_State_Bakersfield_Roadrunners,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Cal_State_Bakersfield_Roadrunners_logo.svg/250px-Cal_State_Bakersfield_Roadrunners_logo.svg.png,,"Hardt Field (2,000)","Icardo Center (3,800)",CSUB Softball Complex,"Main Soccer Field (2,000)",,,,"['#FFC72C', '#003594']"
"California State University, Fresno",Fresno State,Bulldogs,Fresno,CA,Public,FBS,Mountain West Conference[C 3],https://en.wikipedia.org/wiki/Fresno_State_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Fresno_State_Bulldogs_logo.svg/250px-Fresno_State_Bulldogs_logo.svg.png,Valley Children's Stadium,Pete Beiden Field at Bob Bennett Stadium,Save Mart Center,Margie Wright Diamond,Fresno State Soccer and Lacrosse Stadium,,,,"['#13284C', '#C41230']"
"California State University, Fullerton",Cal State Fullerton,Titans,Fullerton,CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/Cal_State_Fullerton_Titans,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_State_Fullerton_Titans_logo.svg/250px-Cal_State_Fullerton_Titans_logo.svg.png,,Goodwin Field,Titan Gym,Anderson Family Field,Titan Stadium,,,,"['#000000', '#DCDCDC']"
"California State University, Long Beach",Long Beach State,Beach[N 2],Long Beach,CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/Long_Beach_State_athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Long_Beach_State_Athletics_logo.svg/250px-Long_Beach_State_Athletics_logo.svg.png,,Blair Field,Walter Pyramid,LBSU Softball Complex,George Allen Field,,,,"['#ECAA00', '#000000']"
"California State University, Northridge",Cal State Northridge / CSUN,Matadors,Northridge,CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/Cal_State_Northridge_Matadors,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/CSUN_Matadors_logo.svg/250px-CSUN_Matadors_logo.svg.png,,Matador Field,Premier America Credit Union Arena,Matador Diamond,Matador Soccer Field,,,,"['#000000', '#CE1126', '#FFFFFF']"
"California State University, Sacramento",Sacramento State,Hornets,Sacramento,CA,Public,FCS[C 5],Big Sky Conference[C 4],https://en.wikipedia.org/wiki/Sacramento_State_Hornets,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Sacramento_State_Hornets_logo.svg/250px-Sacramento_State_Hornets_logo.svg.png,Hornet Stadium,John Smith Field,Hornets Nest,Shea Stadium,Hornet Field,,,,"['#C4B581', '#043927']"
Campbell University,Campbell,Fighting Camels,Buies Creek,NC,Private,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/Campbell_Fighting_Camels,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Campbell_Fighting_Camels_logo.svg/250px-Campbell_Fighting_Camels_logo.svg.png,Barker–Lane Stadium,Jim Perry Stadium,Gore Arena/Pope Convocation Center,Amanda Littlejohn Stadium,Eakes Athletics Complex,,,,"['#FB471F', '#000000']"
Canisius University,Canisius,Golden Griffins,Buffalo,NY,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Canisius_Golden_Griffins,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Canisius_Golden_Griffins_Logo.svg/250px-Canisius_Golden_Griffins_Logo.svg.png,,Demske Sports Complex,Koessler Athletic Center,,,,,,"['#FFBA00', '#0E2756']"
Central Connecticut State University,Central Connecticut,Blue Devils,New Britain,CT,Public,FCS,NEC,https://en.wikipedia.org/wiki/Central_Connecticut_Blue_Devils,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Central_Connecticut_Blue_Devils_logo.svg/250px-Central_Connecticut_Blue_Devils_logo.svg.png,Arute Field,CCSU Baseball Field,William H. Detrick Gymnasium,CCSU Softball Field,Central Connecticut Soccer Field,William H. Detrick Gymnasium,,,"['#1A4784', '#FFFFFF']"
Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,MI,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Central_Michigan_Chippewas,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Central_Michigan_Chippewas_logo.svg/250px-Central_Michigan_Chippewas_logo.svg.png,Kelly/Shorts Stadium,Bill Theunissen Stadium,McGuirk Arena,,,,,,"['#FFC82E', '#6A0032']"
Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,SC,Private,FCS,Big South Conference,https://en.wikipedia.org/wiki/Charleston_Southern_Buccaneers,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Charleston_Southern_Buccaneers_logo.svg/250px-Charleston_Southern_Buccaneers_logo.svg.png,Buccaneer Field,Nielsen Field at CSU Ballpark,"Buccaneer Fieldhouse
North Charleston Coliseum",CSU Softball Complex,CSU Soccer Field,,,,"['#A89968', '#002855']"
Chicago State University,Chicago State,Cougars,Chicago,IL,Public,Non-football[FB 7],NEC,https://en.wikipedia.org/wiki/Chicago_State_Cougars,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Chicago_State_Cougars_logo.svg/250px-Chicago_State_Cougars_logo.svg.png,,"Cougar Stadium (defunct NCAA venue as of June 23, 2020)[1]",Emil and Patricia Jones Convocation Center,,,,,,"['#006666', '#FFFFFF']"
Clemson University,Clemson,Tigers,Clemson,SC,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Clemson_Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/250px-Clemson_Tigers_logo.svg.png,Memorial Stadium,Doug Kingsmore Stadium,Littlejohn Coliseum,McWhorter Stadium,Riggs Field,,,,"['#F56600', '#522D80']"
Cleveland State University,Cleveland State,Vikings,Cleveland,OH,Public,Non-football,Horizon League,https://en.wikipedia.org/wiki/Cleveland_State_Vikings,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Cleveland_State_Vikings_logo.svg/250px-Cleveland_State_Vikings_logo.svg.png,,,"Wolstein Center (primary)
Rocket Arena (secondary)",,Krenzler Field,,,,"['#FFFFFF', '#006A4D']"
Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,SC,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Coastal_Carolina_Chanticleers,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Coastal_Carolina_Chanticleers_logo.svg/250px-Coastal_Carolina_Chanticleers_logo.svg.png,Brooks Stadium,Springs Brooks Stadium,HTC Center,St. John Stadium,CCU Soccer Complex,,,,"['#006F71', '#111111', '#FFFFFF', '#A27752']"
Colgate University,Colgate,Raiders,Hamilton,NY,Private,FCS,Patriot League,https://en.wikipedia.org/wiki/Colgate_Raiders,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Colgate_Raiders_%282020%29_logo.svg/250px-Colgate_Raiders_%282020%29_logo.svg.png,Crown Field at Andy Kerr Stadium,,Cotterell Court,Eaton Street Softball Complex,,Cotterell Court,,,"['#FFFFFF', '#821019']"
College of Charleston,Charleston[N 3],Cougars,Charleston,SC,Public,Non-football,Coastal Athletic Association,https://en.wikipedia.org/wiki/Charleston_Cougars,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/120px-College_of_Charleston_Cougars_logo.svg.png,,Baseball Stadium at Patriot's Point,TD Arena,Softball Stadium at Patriots Point,Ralph Lundy Field at Patriots Point,,,,"['#772432', '#FFFFFF']"
College of the Holy Cross,Holy Cross,Crusaders,Worcester,MA,Private,FCS,Patriot League,https://en.wikipedia.org/wiki/Holy_Cross_Crusaders,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Holy_Cross_Crusaders_logo.svg/250px-Holy_Cross_Crusaders_logo.svg.png,Fitton Field,Hanover Insurance Park at Fitton Field,Hart Recreation Center,Freshman Field,Linda Johnson Smith Soccer Stadium,Hart Recreation Center,,,['#602d89']
Colorado State University,Colorado State,Rams,Fort Collins,CO,Public,FBS,Mountain West Conference[C 3],https://en.wikipedia.org/wiki/Colorado_State_Rams,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/250px-Colorado_State_Rams_logo.svg.png,Sonny Lubick Field at Canvas Stadium (2017–present),,Moby Arena (1966-present),,,,,,"['#C8C372', '#1E4D2B']"
Columbia University in the City of New York,Columbia,Lions,New York,NY,Private,FCS,Ivy League,https://en.wikipedia.org/wiki/Columbia_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Columbia_Lions_logo.svg/250px-Columbia_Lions_logo.svg.png,Robert K. Kraft Field at Lawrence A. Wien Stadium,Hal Robertson Field at Phillip Satow Stadium,Levien Gymnasium,Columbia Softball Stadium,Rocco B. Commisso Soccer Stadium,Levien Gymnasium,,{'Lacrosse stadium': 'Robert K. Kraft Field at Lawrence A. Wien Stadium'},"['#B9D9EB', '#FFFFFF']"
Coppin State University,Coppin State,Eagles,Baltimore,MD,Public,Non-football,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/Coppin_State_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Coppin_State_Eagles_logo.svg/250px-Coppin_State_Eagles_logo.svg.png,,Joe Cannon Stadium,Physical Education Complex,,,,,,"['#003056', '#FFC915']"
Cornell University,Cornell,Big Red,Ithaca,NY,Private,FCS,Ivy League,https://en.wikipedia.org/wiki/Cornell_Big_Red,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Cornell_Big_Red_logo.svg/250px-Cornell_Big_Red_logo.svg.png,Schoellkopf Field,Booth Field,Newman Arena,Niemand-Robison Softball Field,Berman Field,Newman Arena,Lynah Rink,,"['#B31B1B', '#FFFFFF']"
Creighton University,Creighton,Bluejays,Omaha,NE,Private,Non-football,Big East Conference,https://en.wikipedia.org/wiki/Creighton_Bluejays,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Creighton_Bluejays_logo.svg/250px-Creighton_Bluejays_logo.svg.png,,Charles Schwab Field Omaha,"CHI Health Center Omaha (men's)
D. J. Sokol Arena (women's)",,Morrison Stadium,,,,"['#005CA9', '#00235D', '#FFFFFF']"
Dartmouth College,Dartmouth,Big Green,Hanover,NH,Private,FCS,Ivy League,https://en.wikipedia.org/wiki/Dartmouth_Big_Green,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dartmouth_College_Big_Green_logo.svg/120px-Dartmouth_College_Big_Green_logo.svg.png,Memorial Field,Red Rolfe Field at Biondi Park,Leede Arena,Dartmouth Softball Park,Burnham Field,Leede Arena,,{'Lacrosse stadium': 'Scully-Fahey Field'},"['#00693E', '#FFFFFF']"
Davidson College,Davidson,Wildcats,Davidson,NC,Private,FCS,Atlantic 10 Conference[FB 8],https://en.wikipedia.org/wiki/Davidson_Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Davidson_Wildcats_logo.png/250px-Davidson_Wildcats_logo.png,Davidson College Stadium,T. Henry Wilson Jr. Field,John M. Belk Arena,,,,,,"['#D02139', '#000000']"
Delaware State University,Delaware State,Hornets[i],Dover,DE,Public[O 1],FCS,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/Delaware_State_Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Delaware_State_Hornets_logo.svg/250px-Delaware_State_Hornets_logo.svg.png,Alumni Stadium,Bob Reed Field,Memorial Hall,,,,,,"['#0099CC', '#EE3124']"
DePaul University,DePaul,Blue Demons,Chicago,IL,Private,Non-football,Big East Conference,https://en.wikipedia.org/wiki/DePaul_Blue_Demons,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/DePaul_Athletics_Logo_NEW2025.png/250px-DePaul_Athletics_Logo_NEW2025.png,,,Wintrust Arena,Cacciatore Stadium,Wish Field,,,,"['#E4002B', '#054696']"
Drake University,Drake,Bulldogs,Des Moines,IA,Private,FCS,Missouri Valley Conference[FB 9],https://en.wikipedia.org/wiki/Drake_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Drake_Bulldogs_logo.svg/250px-Drake_Bulldogs_logo.svg.png,"Drake Stadium (football, track)",,Knapp Center,,,,,,"['#FFFFFF', '#1B4677']"
Drexel University,Drexel,Dragons,Philadelphia,PA,Private,Non-football,Coastal Athletic Association,https://en.wikipedia.org/wiki/Drexel_Dragons,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Drexel_Dragons_logo.svg/250px-Drexel_Dragons_logo.svg.png,,Ramp Playground Field,Daskalakis Athletic Center,Vidas Athletic Complex,Vidas Field,,,{'Lacrosse stadium': 'Vidas Field'},"['#07294D', '#FFC600']"
Duke University,Duke,Blue Devils,Durham,NC,Private,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Duke_Blue_Devils,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/250px-Duke_Athletics_logo.svg.png,Wallace Wade Stadium,Jack Coombs Field,Cameron Indoor Stadium,,Koskinen Stadium,,,,"['#FFFFFF', '#013088']"
Duquesne University of the Holy Spirit,Duquesne,Dukes,Pittsburgh,PA,Private,FCS,Atlantic 10 Conference[FB 8],https://en.wikipedia.org/wiki/Duquesne_Dukes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Duquesne_Dukes.svg/120px-Duquesne_Dukes.svg.png,Arthur J. Rooney Athletic Field,,UPMC Cooper Fieldhouse,,,,,,"['#041E42', '#BA0C2F']"
East Carolina University,East Carolina,Pirates[q],Greenville,NC,Public,FBS,American Conference,https://en.wikipedia.org/wiki/East_Carolina_Pirates,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/East_Carolina_Pirates_logo.svg/250px-East_Carolina_Pirates_logo.svg.png,Dowdy–Ficklen Stadium,Clark-LeClair Stadium,Williams Arena at Minges Coliseum,,,,,,"['#582C83', '#FFC72C']"
Eastern Illinois University,Eastern Illinois,Panthers,Charleston,IL,Public,FCS,Ohio Valley Conference,https://en.wikipedia.org/wiki/Eastern_Illinois_Panthers,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Eastern_Illinois_Panthers_logo.svg/250px-Eastern_Illinois_Panthers_logo.svg.png,O’Brien Field,Coaches Stadium at Monier Field,Groniger Arena,Williams Field,,McAfee Gym,,,"['#004C97', '#75787B']"
Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,KY,Public,FCS,Atlantic Sun Conference[FB 1][C 2],https://en.wikipedia.org/wiki/Eastern_Kentucky_Colonels,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Eastern_Kentucky_Colonels_logo.svg/250px-Eastern_Kentucky_Colonels_logo.svg.png,Roy Kidd Stadium,Turkey Hughes Field,Baptist Health Arena,Gertrude Hood Field,EKU Soccer Field,,,,"['#861F41', '#FFFFFF']"
Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,MI,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Eastern_Michigan_Eagles,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eastern_Michigan_Eagles_logo.svg/120px-Eastern_Michigan_Eagles_logo.svg.png,Rynearson Stadium,Oestrike Stadium,George Gervin GameAbove Center,,,,,,"['#046A38', '#FFFFFF']"
Eastern Washington University,Eastern Washington,Eagles,Cheney,WA,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Eastern_Washington_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Eastern_Washington_Eagles_logo.svg/250px-Eastern_Washington_Eagles_logo.svg.png,Roos Field,,Reese Court,,,,,,"['#B7142E', '#FFFFFF']"
East Tennessee State University,East Tennessee State,Buccaneers,Johnson City,TN,Public,FCS,Southern Conference,https://en.wikipedia.org/wiki/East_Tennessee_State_Buccaneers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/East_Tennessee_State_Buccaneers_logo.svg/250px-East_Tennessee_State_Buccaneers_logo.svg.png,William Greene Stadium,Thomas Stadium,Freedom Hall Civic Center,Betty Basler Field,Summers-Taylor Stadium,,,,"['#00053E', '#FFC72C']"
