col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url,jersey_number,hometown,nationality,nba_status
Veniamin Abosi,F,6-6,225,San Francisco,So,"Jan 15, 2006",Heraklion,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abosi_Veniamin_usf24.jpg,14.0,"Heraklion, Greece",Greece,Draft Eligible in 2028
Ahmed Abouelela,PF,6-8,N/A,Texas Southern,Fr,"May 3, 2006",Cairo,NBA Academy Africa,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg,10.0,"Cairo, Egypt",Egypt,Draft Eligible in 2029
Isaiah Abraham,GF,6-7,205,Georgetown,So,"Oct 18, 2005",Gainesville (VA),St. Paul VI High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abraham_Isaiah_uconn24.jpg,7.0,"Gainesville, Virginia",United States,Draft Eligible in 2028
Amaree Abram,G,6-4,195,Tennessee,Sr,"May 22, 2004",Houston (TX),Southern California Academy of Sciences,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abram_Amaree_ole22.jpg,77.0,"Houston, Texas",United States,Draft Eligible in 2026
Xavier Abreu,G,6-3,184,Northeastern,Fr,-,Lynn (MA),Phillips Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abreu_Xavier_ne25.jpg,1.0,"Lynn, Massachusetts",United States,Draft Eligible in 2029
Justin Abson,F,6-9,250,Georgia,Sr,"Oct 31, 2003",Coconut Creek (FL),North Broward Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abson_Justin_appst22.jpg,25.0,"Coconut Creek, Florida",United States,Draft Eligible in 2026
Kareem Aburashed,C,6-10,235,Central Michigan,Sr,-,West Bloomfield (MI),Detroit Country Day School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aburashed_Kareem_cmu25.jpg,4.0,"West Bloomfield, Michigan",United States,Draft Eligible in 2026
Niko Abusara,G,6-5,185,Dartmouth,Jr,-,Chicago (IL),Benet Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abusara_Niko_dart24.jpg,23.0,"Chicago, Illinois",United States,Draft Eligible in 2027
Luca Ace-Nasteski,C,6-10,225,Harvard,Jr,-,Manly (NSW),Scots College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Acenasteski_Luca_har23.jpg,35.0,"Manly, Australia",Australia,Draft Eligible in 2027
Achor Achor,F,6-9,230,Mississippi State,Sr,"Jan 13, 2002",Melbourne (VIC),Greenforest Christian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Achor_Achor_chip22.jpg,99.0,"Melbourne, Australia",Australia,Draft Eligible in 2026
Andrej Acimovic,C,6-10,240,Indiana,Fr,"Mar 15, 2006",Bijeljina,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Acimovic_Andrej_iu25.jpg,15.0,"Bijeljina, Bosnia and Herzegovina",Bosnia and Herzegovina,Draft Eligible in 2029
Eric Acker,G,6-2,160,La Salle,Jr,-,New York (NY),Eagle Academy For Young Men,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Acker_Eric_li23.jpg,3.0,"New York, New York",United States,Draft Eligible in 2027
"Darius Acuff, Jr.",G,6-2,180,Arkansas,Fr,"Nov 16, 2006",Detroit (MI),IMG Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Acuff_Darius_ark25.jpg,5.0,"Detroit, Michigan",United States,Draft Eligible in 2029
Emmett Adair,F,6-9,N/A,Loyola (MD),Fr,"Jan 25, 2006",Ryde (NSW),NBA Global Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adair_Emmett_loymd25.jpg,18.0,"Ryde, Australia",Australia,Draft Eligible in 2029
Hunter Adam,F,6-7,220,Davidson,Jr,"Sep 29, 2004",Christchurch,Christ's College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adam_Hunter_dav24.jpg,12.0,"Christchurch, New Zealand",New Zealand,Draft Eligible in 2027
Darius Adams,G,6-5,175,Maryland,Fr,-,Manasquan (NJ),La Lumiere School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adams_Darius_md25.jpg,1.0,"Manasquan, New Jersey",United States,Draft Eligible in 2029
"Marcus Adams, Jr.",SF,6-8,195,Arizona State,Jr,"Jan 15, 2005",Harbor City (CA),Narbonne High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adams_Marcus_byu23.jpg,8.0,"Harbor City, California",United States,Draft Eligible in 2027
Ray Adams,F,6-8,193,Seattle,Fr,-,Olympia (WA),North Thurston High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adams_Ray_sea24.jpg,10.0,"Olympia, Washington",United States,Draft Eligible in 2029
Muazibini Adamu,C,6-10,211,Delaware State,So,"Jul 7, 2003",Accra,Putnam Science Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/151813.png,35.0,"Accra, Ghana",Ghana,Draft Eligible in 2028
Alfredo Addesa,C,6-10,205,Lehigh,So,-,Monza,Perkiomen School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Addesa_Alfredo_leh24.jpg,15.0,"Monza, Italy",Italy,Draft Eligible in 2028
Dola Adebayo,F,6-8,210,George Mason,Sr,-,Ocala (FL),Canterbury School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adebayo_Dola_msm21.jpg,4.0,"Ocala, Florida",United States,Draft Eligible in 2026
Sola Adebisi,F,6-7,205,The Citadel,Jr,"Apr 1, 2002",Milton (GA),Cambridge High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adebisi_Sola_fsu22.jpg,8.0,"Milton, Georgia",United States,Draft Eligible in 2027
Omar Adegbola,G,6-4,205,Northwestern State,So,-,Houston (TX),Montverde Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adegbola_Omar_bay23.jpg,25.0,"Houston, Texas",United States,Draft Eligible in 2028
Maison Adeleye,PG,6-3,185,New Haven,Sr,-,Arlington (TX),Seguin High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adeleye_Maison_nh25.jpg,22.0,"Arlington, Texas",United States,Draft Eligible in 2026
Alijah Adem,G,6-2,160,Bowling Green,Fr,-,Las Vegas (NV),Spring Valley High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adem_Alijah_bgsu24.jpg,31.0,"Las Vegas, Nevada",United States,Draft Eligible in 2029
Sully Adewale,PF,6-8,225,Albany,Jr,"Nov 19, 2003",London,Neumann-Goretti High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adewale_Sultan_iona23.jpg,33.0,"London, England",England,Draft Eligible in 2027
Henri Adiassa,C,6-11,240,Lehigh,Sr,-,Yaounde,Crossroads School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adiassa_Henri_leh22.jpg,32.0,"Yaounde, Cameroon",Cameroon,Draft Eligible in 2026
Carmelo Adkins,GF,6-4,185,USC Upstate,So,-,Keller (TX),Western Reserve Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adkins_Carmelo_uscu25.jpg,4.0,"Keller, Texas",United States,Draft Eligible in 2028
Christopher Adlam,G,6-4,185,East Texas A&M,So,-,Houston (TX),Houston Christian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adlam_Chris_txamcc24.jpg,4.0,"Houston, Texas",United States,Draft Eligible in 2028
Tamario Adley,GF,6-1,195,Central Michigan,Sr,-,Detroit (MI),De La Salle High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adley_Tamario_cmu25.jpg,5.0,"Detroit, Michigan",United States,Draft Eligible in 2026
Dominique Aekins,PG,5-10,155,Duquesne,Fr,-,Columbus (OH),Walnut Ridge High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aekins_Dominique_duq25.jpg,7.0,"Columbus, Ohio",United States,Draft Eligible in 2029
Ryan Agarwal,F,6-6,205,Stanford,Jr,-,Coppell (TX),Coppell High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Agarwal_Ryan_stan22.jpg,11.0,"Coppell, Texas",United States,Draft Eligible in 2027
Obi Agbim,G,6-3,180,Baylor,Sr,"Aug 30, 2002",Denver (CO),Rangeview High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Agbim_Obi_wy24.jpg,5.0,"Denver, Colorado",United States,Draft Eligible in 2026
Rashaun Agee,F,6-7,231,Texas A&M,Sr,"Nov 2, 2000",Chicago (IL),Bogan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Agee_Rashaun_nmst19.jpg,12.0,"Chicago, Illinois",United States,Draft Eligible in 2026
"Bol Agu, Jr.",F,6-8,235,Saint Peter's,Jr,-,Winnipeg (MB),Potter's House Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg,14.0,"Winnipeg, Canada",Canada,Draft Eligible in 2027
Kenyon Aguino,F,6-7,205,Montana,Fr,-,Albuquerque (NM),Volcano Vista High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aguino_Kenyon_mt25.jpg,24.0,"Albuquerque, New Mexico",United States,Draft Eligible in 2029
Kwo Agwa,F,6-6,215,Texas-RGV,Sr,-,Calgary,Kearns High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Agwa_Kwo_txamcc23.jpg,12.0,"Calgary, Canada",Canada,Draft Eligible in 2026
Josh Ahayere,G,6-4,215,Colgate,So,-,Morinville,Crestwood Preparatory College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ahayere_Josh_col24.jpg,4.0,"Morinville, Canada",Canada,Draft Eligible in 2028
Tishan Ahir,G,5-11,150,UC Irvine,So,-,La Canada Flintridge (CA),Crescenta Valley High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ahir_Tishan_uci24.jpg,27.0,"La Canada Flintridge, California",United States,Draft Eligible in 2028
Abdullah Ahmed,C,6-10,220,Brigham Young,Fr,"Nov 3, 2003",N/A,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ahmed_Abdullah_gl24.jpg,34.0,,Egypt,Unrestricted Free Agent
Ben Ahmed,C,6-10,300,Oklahoma State,Fr,-,Koji,Putnam Science Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ahmed_Ben_osu25.jpg,23.0,"Koji, Nigeria",Nigeria,Draft Eligible in 2029
Tommy Ahneman,C,6-10,235,Notre Dame,Fr,-,West Fargo (ND),Cretin Derham Hall High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ahneman_Tommy_nd25.jpg,15.0,"West Fargo, North Dakota",United States,Draft Eligible in 2029
Spencer Ahrens,C,6-10,230,Boise State,Fr,"Oct 16, 2006",Oakville (ON),Bella Vista College Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ahrens_Spencer_bsu25.jpg,16.0,"Oakville, Canada",Canada,Draft Eligible in 2029
Weston Aigner,G,6-3,N/A,Evansville,Jr,-,Newburgh (IN),Castle High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aigner_Weston_ev23.jpg,40.0,"Newburgh, Indiana",United States,Draft Eligible in 2027
Favour Aire,C,6-11,220,Coppin State,Sr,-,Ekpoma,Bishop McNamara High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aire_Favour_mi22.jpg,2.0,"Ekpoma, Nigeria",Nigeria,Draft Eligible in 2026
Michael Ajayi,F,6-7,228,Butler,Sr,"Jun 23, 2003",Kent (WA),Kentwood High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ajayi_Michael_gon24.jpg,5.0,"Kent, Washington",United States,Draft Eligible in 2026
Ola Ajiboye,PF,6-8,205,Southern Indiana,Sr,-,Evanston (IL),Evanston Township High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ajiboye_Ola_cmu22.jpg,5.0,"Evanston, Illinois",United States,Draft Eligible in 2026
Justice Ajogbor,C,6-10,262,Saint Joseph's,Sr,"Oct 28, 2001",Benin City,Christ School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ajogbor_Justice_har21.jpg,22.0,"Benin City, Nigeria",Nigeria,Draft Eligible in 2026
Kosy Akametu,G,6-5,215,Iona,Jr,-,Carson (CA),King Drew Magnet High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akametu_Kosy_sc22.jpg,13.0,"Carson, California",United States,Draft Eligible in 2027
Bryan Akanmu,F,6-6,230,Wagner,Jr,-,Paris,Myerscough College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akanmu_Bryan_wag25.jpg,10.0,"Paris, France",France,Draft Eligible in 2027
Roor Akhuar,F,6-7,200,Fordham,Fr,"Apr 29, 2007",Canberra (ACT),The Centre of Excellence,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akhuar_Roor_ford25.jpg,14.0,"Canberra, Australia",Australia,Draft Eligible in 2029
Akintola Akinniyi,C,6-7,225,Quinnipiac,So,-,Denton (TX),John H. Guyer High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akinniyi_Akintola_quin24.jpg,34.0,"Denton, Texas",United States,Draft Eligible in 2028
Sebastian Akins,G,6-2,175,Wake Forest,So,-,Concord (NC),1 of 1 Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akins_Sebastian_den24.jpg,10.0,"Concord, North Carolina",United States,Draft Eligible in 2028
Jeffrey Akintolu,C,6-7,210,N.J.I.T.,Jr,"Feb 21, 2003",Wellingborough,Avon Old Farms High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akintolu_Jeffrey_njit23.jpg,8.0,"Wellingborough, England",England,Draft Eligible in 2027
Daniel Akitoby,F,6-9,240,Texas-San Antonio,Sr,-,Fairfax (VA),Falls Church High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akitoby_Daniel_mor23.jpg,12.0,"Fairfax, Virginia",United States,Draft Eligible in 2026
Daniel Akoue,PF,6-10,N/A,Bryant,Fr,"Nov 18, 2005",Liberville,Mt. Zion Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akoue_Daniel_bry25.jpg,10.0,"Liberville, Gabon",Gabon,Draft Eligible in 2029
Josh Akpovwa,F,6-8,235,Texas Southern,Jr,-,Houston (TX),Seven Lakes High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akpovwa_Josh_uiw23.jpg,35.0,"Houston, Texas",United States,Draft Eligible in 2027
Andrew Akuchie,F,6-11,215,Rice,Sr,-,Fort Lauderdale (FL),St. Thomas Aquinas High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akuchie_Andrew_rice22.jpg,13.0,"Fort Lauderdale, Florida",United States,Draft Eligible in 2026
Totu Akuentok,C,6-10,240,Texas Tech,Fr,"May 12, 2006",Edmonton,Fort Erie International Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akuentok_Totu_txtech25.jpg,13.0,"Edmonton, Canada",Canada,Draft Eligible in 2029
Ralph Akuta,C,7-1,285,Drexel,So,-,Ijamsville (MD),Bishop Walsh High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Akuta_Ralph_drex24.jpg,33.0,"Ijamsville, Maryland",United States,Draft Eligible in 2028
Cody Al-Naziat,G,6-2,N/A,Southeastern Louisiana,Fr,-,Hammond (LA),Ponchatoula High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alnaziat_Cody_sela25.jpg,9.0,"Hammond, Louisiana",United States,Draft Eligible in 2029
Kevin Alabi,F,6-9,210,Alabama State,So,-,Brampton (ON),Skyline High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg,22.0,"Brampton, Canada",Canada,Draft Eligible in 2028
Sam Alamutu,G,6-5,215,Wright State,Sr,-,Lagos,Rothesay Netherwood School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alamutu_Sam_ver21.jpg,2.0,"Lagos, Nigeria",Nigeria / Canada,Draft Eligible in 2026
Xander Alarie,F,6-8,233,Northeastern,Fr,-,Potomac (MD),St. Andrew's Episcopal School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alarie_Xander_mia24.jpg,0.0,"Potomac, Maryland",United States,Draft Eligible in 2029
Jamal Albritton,F,6-9,245,North Alabama,Sr,-,Montgomery (AL),Julian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Albritton_Jamal_na23.jpg,35.0,"Montgomery, Alabama",United States,Draft Eligible in 2026
Deyton Albury,G,6-2,190,New Mexico,Sr,"Apr 11, 2002",Nassau,Sunrise Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Albury_Deyton_qu23.jpg,1.0,"Nassau, Bahamas",Bahamas,Draft Eligible in 2026
Merritt Alderink,F,6-7,220,Eastern Michigan,So,-,Zeeland (MI),Zeeland West High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alderink_Merritt_inst24.jpg,35.0,"Zeeland, Michigan",United States,Draft Eligible in 2028
Andrew Alekseyenko,F,6-8,230,Colgate,Fr,-,Brookline (MA),Rivers School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alekseyenko_Andrew_col25.jpg,22.0,"Brookline, Massachusetts",United States,Draft Eligible in 2029
Samson Aletan,C,6-10,223,Yale,Jr,"Jan 14, 2005",Dallas (TX),Lake Highlands High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aletan_Samson_ya23.jpg,10.0,"Dallas, Texas",United States,Draft Eligible in 2027
Aidan Alexander,F,6-4,180,The Citadel,Fr,-,Charleston (SC),Bishop England High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Aidan_cit24.jpg,12.0,"Charleston, South Carolina",United States,Draft Eligible in 2029
Cole Alexander,F,6-7,220,Fairleigh Dickinson,Sr,-,Charleston (SC),Bishop England High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Cole_cit22.jpg,21.0,"Charleston, South Carolina",United States,Draft Eligible in 2026
Harrison Alexander,F,6-5,190,SIU-Edwardsville,So,"Sep 28, 2004",Madison (MS),Madison-Ridgeland Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Harrison_msst23.jpg,8.0,"Madison, Mississippi",United States,Draft Eligible in 2028
Jaden Alexander,G,6-4,207,Cal State Bakersfield,Jr,-,Vallejo (CA),St. Patrick-St. Vincent High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Jaden_nmsu22.jpg,25.0,"Vallejo, California",United States,Draft Eligible in 2027
Jayden Alexander,G,6-1,170,Long Beach State,Fr,-,Los Angeles (CA),Sierra Canyon School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Jayden_lbsu25.jpg,22.0,"Los Angeles, California",United States,Draft Eligible in 2029
Kyrone Alexander,G,6-5,200,Boston University,Jr,-,Brooklyn (NY),South Shore High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Kyrone_bu23.jpg,5.0,"Brooklyn, New York",United States,Draft Eligible in 2027
Logan Alexander,PF,6-10,185,North Texas,Fr,-,Houston (TX),Our Saviour Lutheran School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg,,"Houston, Texas",United States,Draft Eligible in 2029
Sam Alexis,F,6-9,238,Indiana,Sr,"Oct 14, 2004",Apopka (FL),Apopka High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexis_Sam_chat22.jpg,4.0,"Apopka, Florida",United States,Draft Eligible in 2026
Amier Ali,SF,6-8,210,Mississippi State,So,"Mar 27, 2005",Little Elm (TX),Canyon International Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ali_Amier_msst25.jpg,14.0,"Little Elm, Texas",United States,Draft Eligible in 2028
Andrew Alia,G,6-3,195,Drake,Jr,-,Kenosha (WI),St. Joseph High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alia_Andrew_drake22.jpg,21.0,"Kenosha, Wisconsin",United States,Draft Eligible in 2027
Prince Aligbe,F,6-7,235,Southern Illinois,Sr,-,Minneapolis (MN),Minnehaha Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aligbe_Prince_bc22.jpg,8.0,"Minneapolis, Minnesota",United States,Draft Eligible in 2026
Rolyns Aligbe,F,6-9,240,Southern Illinois,So,-,Minneapolis (MN),Minnehaha Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aligbe_Rolyns_siu24.jpg,0.0,"Minneapolis, Minnesota",United States,Draft Eligible in 2028
Gediminas Alisas,F,6-6,212,Stephen F. Austin,So,"Jan 16, 2004",Taurage,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alisas_Gediminas_sfa25.jpg,17.0,"Taurage, Lithuania",Lithuania,Draft Eligible in 2028
Will Aljancic,F,6-6,220,Holy Cross,Jr,-,Louisville (OH),Louisville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aljancic_Will_hc25.jpg,1.0,"Louisville, Ohio",United States,Draft Eligible in 2027
Marvel Allen III,GF,6-4,205,Utah Tech,So,"Oct 29, 2004",Palm Beach Gardens (FL),Montverde Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Marvel_day23.jpg,8.0,"Palm Beach Gardens, Florida",United States,Draft Eligible in 2028
Amare Allen,F,6-7,N/A,Maine,So,-,Ajax (ON),C.O.D.E. Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Amare_me24.jpg,14.0,"Ajax, Canada",Canada,Draft Eligible in 2028
Amari Allen,F,6-8,180,Alabama,Fr,"Jan 26, 2006",Kaukauna (WI),IMG Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Amari_al25.jpg,5.0,"Kaukauna, Wisconsin",United States,Draft Eligible in 2029
Corbin Allen,F,6-5,180,Kansas,Fr,-,Kansas City (MO),Oak Park High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Corbin_ks25.jpg,2.0,"Kansas City, Missouri",United States,Draft Eligible in 2029
Dante Allen,G,6-4,220,Miami (FL),Fr,-,Miami (FL),Montverde Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Dante_mifl25.jpg,34.0,"Miami, Florida",United States,Draft Eligible in 2029
Drake Allen,G,6-4,190,Utah State,Sr,-,Eagle Mountain (UT),Westlake High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Drake_snow22.jpg,8.0,"Eagle Mountain, Utah",United States,Draft Eligible in 2026
Justin Allen,G,6-4,N/A,Green Bay,Sr,-,Mt. Kisco (NY),Fox Lane High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Justin_gb25.jpg,7.0,"Mt. Kisco, New York",United States,Draft Eligible in 2026
Marcus Allen,F,6-7,220,Miami (FL),So,"Feb 7, 2005",Miami (FL),Miami Norland High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Marcus_mz24.jpg,4.0,"Miami, Florida",United States,Draft Eligible in 2028
